gse	n_samples	pdat	gds_type	is_array_type	lung_mention	ici_mention	response_mention	platforms	platform_titles	pubmed	found_by	title	summary
GSE10198	6	2008/02/01	Expression profiling by array	1	0	1	1	GPL1708			array_ici_lung	Mycobacterium tuberculosis targets DC-SIGN for immunosuppression through the PD-1/PD-Ligand pathway	The inhibitory axis of PD-1 expressed on T cells and its ligands produced by APCs mediates T cell exhaustion in chronic viral infection. We asked whether temporality of the infectious process is decisive for regulation through PD-1/PD-Ligand and investigated its impact on chronic bacterial infection. Here we show that M. tuberculosis and its lipid compounds induce expression of PD-Ligand on dendritic cells (DC). Upregulation of PD-Ligand depended on signaling through DC-SIGN upon infection. As a counterpart, expression of the PD-1 receptor was increased on T cells from tuberculosis patients and PPD+ donors compared to healthy normal individuals. Moreover, PD-1 expressing T cells were confined to granulomatous lesions in tuberculous lungs. Finally, functional blocking of PD-Ligand rescued antigen-specific T cell responses of tuberculosis patients. Taken together, we demonstrate that the inhibitory axis of PD-1/PD-Ligand is operative in mycobacterial infection and suggest inhibition of inhibition for rescuing exhausted T cells in tuberculosis. Keywords: Agilent two-color catolog 44K human whole genome microarrays
GSE65041	11	2015/05/01	Expression profiling by array	1	0	1	0	GPL14951			array_ici_lung	Expression data in PD-L1 positive and PD-L1 negative human melanoma samples	Blocking the PD-1/PD-L1 immunosuppressive pathway has shown promise in the treatment of certain cancers including melanoma. This study investigates differences in the gene expression profiles of human melanomas that do or do not display the immunosuppressive protein PD-L1. Further understanding of genes expressed within the tumor microenvironment of PD-L1+ tumors may lead to improved rationally designed treatments.
GSE66843	265	2021/06/28	Expression profiling by array; Expression profiling by high throughput sequencing	0	0	0	0	GPL21697;GPL19886;GPL17230;GPL10558;GPL20084;GPL18573;GPL21805	 |  |  |  |  |  | 		array_ici_lung,array_response,broad_ici_lung,panel_ici_lung	A cell-based model unravels drivers for hepatocarcinogenesis and targets for clinical chemoprevention	This SuperSeries is composed of the SubSeries listed below.
GSE67501	11	2016/08/04	Expression profiling by array	1	0	1	1	GPL14951			array_ici_lung	Expression data in human renal cell carcinoma samples from patients who did or did not respond to anti-PD-1 (Nivolumab) immunotherapy	Pre-treatment tumor expression of PD-L1 has been shown to correlate with favorable clinical outcomes following PD-1 blocking therapies. However, the majority of patients with PD-L1+ tumors do not respond to treatment. With the goal of obtaining insights into the mechanisms underlying the response to anti-PD-1 targeted therapies in patients with renal cell carcinoma (RCC) with positive tumor expression of PD-L1, microarray expression data was obtained for pre-treatment tumors from patients with RCC who did or did not have a positive response to anti-PD-1 (nivolumab) therapy. Insight into these mechanisms may lead to improved rationally designed therapies, and biomarkers for selecting patients who are more likely to benefit from these treatments.
GSE78220	28	2016/03/18	Expression profiling by high throughput sequencing	0	0	1	1	GPL11154			seed	mRNA expressions in pre-treatment melanomas undergoing anti-PD-1 checkpoint inhibition therapy	PD-1 immune checkpoint blockade provides significant clinical benefits for cancer patients. However, factors influencing innate sensitivity remain incompletely catalogued. We analyzed the somatic mutanomes and transcriptomes of pretreatment melanoma biopsies. Mutations in cell adhesion genes and the DNA repair gene BRCA2 were enriched in responding tumors, and a high mutational load associated with improved survival. Innately resistant tumors displayed frequent transcriptomic up-expression of genes that enriched for mesenchymal transition, cell adhesion, ECM organization, wound-healing and angiogenesis. The transcriptomes of innate resistance also enriched for signatures indicating up-regulation of these processes. Notably, MAPK-targeted therapy (MAPKi) induced similar signatures in melanoma, suggesting that a form of MAPKi resistance mediates cross-resistance to anti-PD-1 therapy. Co-enrichment of IPRIM (Innate anti-PD-1 Resistance Induced by MAPKi) signatures defined a transcriptomic subset across advanced cancers, suggesting that attenuating processes underlying these signatures may augment anti-PD1 responses. Thus, multi-factorial determinants influence anti-PD-1 patterns in melanoma.
GSE81801	90	2021/06/28	Expression profiling by array	1	0	0	0	GPL19886			array_ici_lung,broad_ici_lung,panel_ici_lung	Prognostic Liver Signature profiles of Jc1-infected Huh7.5.1dif cells treated with various drugs	Hepatocellular carcinoma (HCC) is the second leading cause of cancer death worldwide, indicating urgent need for preventive strategies. Cancer chemoprevention discovery is challenged by the absence of tractable and clinically relevant human model systems and the complex cell circuits supporting carcinogenesis. Here, we developed a simple and robust human liver cell-based system in which persistent hepatitis B/C virus infection or ethanol induce an HCC risk signature robustly predicting long-term HCC risk in cirrhotic patients. Using a computationally enriched small molecule cell-based screen followed by ex/in vivo validation in human liver tissues and animal models, we identified captopril as an HCC chemopreventive agent that antagonizes the EGF/EGFR pathway, a key driver of liver disease and hepatocarcinogenesis. Our system, modeling the cell circuits encoded in the clinical HCC risk signature, enables fast-track cancer chemoprevention discovery and provides an urgently needed approach for improving the dismal prognosis of patients at risk of HCC.
GSE84797	29	2016/10/11	Expression profiling by array	1	1	1	1	GPL19965			array_ici_lung,panel_ici_lung	Multi-parametric profiling of non-small cell lung cancers reveals distinct immunophenotypes [Nanostring]	Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking. Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited. Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC). Results: Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers. The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC. There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster. Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10. Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer. Background: Immune checkpoint blockade improves s
GSE85352	48	2020/06/18	Genome binding/occupancy profiling by high throughput sequencing	0	0	1	1	GPL11154;GPL16791;GPL21103	 |  | 		broad_ici_lung	DNA methylation repels binding of hypoxia-inducible transcription factors to maintain tumour immunotolerance [ChIPSeq]	Background: Hypoxia is pervasive in cancer and other diseases. Cells sense and adapt to hypoxia by activating hypoxia-inducible transcription factors (HIFs), but it is still an outstanding question why cell types differ in their transcriptional response to hypoxia. Results: Here, we report that HIFs fail to bind CpG dinucleotides that are methylated in their consensus binding sequence, both in in vitro biochemical binding assays and in vivo studies of differentially methylated isogenic cell lines. Based on in silico structural modelling, we show that 5-methylcytosine indeed causes steric hindrance in the HIF binding pocket. A model wherein cell-type-specific methylation landscapes, as laid-down by the differential expression and binding of other transcription factors under normoxia control cell-type-specific hypoxia responses is observed. We also discover ectopic HIF binding sites in repeat regions which are normally methylated. Genetic and pharmacological DNA demethylation, but also cancer-associated DNA hypomethylation, expose these binding sites, inducing HIF-dependent expression of cryptic transcripts. In line with such cryptic transcripts being more prone to cause double-stranded RNA and viral mimicry, we observe low DNA methylation and high cryptic transcript expression in tumours with high immune checkpoint expression, but not in tumours with low immune checkpoint expression, where they would compromise tumour immunotolerance. In a low-immunogenic tumour model, DNA dem
GSE85353	214	2020/06/18	Expression profiling by high throughput sequencing	0	0	1	1	GPL20301;GPL17021;GPL21103;GPL13112;GPL16791	 |  |  |  | 		broad_ici_lung	DNA methylation repels binding of hypoxia-inducible transcription factors to maintain tumour immunotolerance [RNA]	Background: Hypoxia is pervasive in cancer and other diseases. Cells sense and adapt to hypoxia by activating hypoxia-inducible transcription factors (HIFs), but it is still an outstanding question why cell types differ in their transcriptional response to hypoxia. Results: Here, we report that HIFs fail to bind CpG dinucleotides that are methylated in their consensus binding sequence, both in in vitro biochemical binding assays and in vivo studies of differentially methylated isogenic cell lines. Based on in silico structural modelling, we show that 5-methylcytosine indeed causes steric hindrance in the HIF binding pocket. A model wherein cell-type-specific methylation landscapes, as laid-down by the differential expression and binding of other transcription factors under normoxia control cell-type-specific hypoxia responses is observed. We also discover ectopic HIF binding sites in repeat regions which are normally methylated. Genetic and pharmacological DNA demethylation, but also cancer-associated DNA hypomethylation, expose these binding sites, inducing HIF-dependent expression of cryptic transcripts. In line with such cryptic transcripts being more prone to cause double-stranded RNA and viral mimicry, we observe low DNA methylation and high cryptic transcript expression in tumours with high immune checkpoint expression, but not in tumours with low immune checkpoint expression, where they would compromise tumour immunotolerance. In a low-immunogenic tumour model, DNA dem
GSE85354	8	2020/06/18	Methylation profiling by high throughput sequencing	0	0	1	1	GPL11154			broad_ici_lung	DNA methylation repels binding of hypoxia-inducible transcription factors to maintain tumour immunotolerance [SeqCapEpi]	Background: Hypoxia is pervasive in cancer and other diseases. Cells sense and adapt to hypoxia by activating hypoxia-inducible transcription factors (HIFs), but it is still an outstanding question why cell types differ in their transcriptional response to hypoxia. Results: Here, we report that HIFs fail to bind CpG dinucleotides that are methylated in their consensus binding sequence, both in in vitro biochemical binding assays and in vivo studies of differentially methylated isogenic cell lines. Based on in silico structural modelling, we show that 5-methylcytosine indeed causes steric hindrance in the HIF binding pocket. A model wherein cell-type-specific methylation landscapes, as laid-down by the differential expression and binding of other transcription factors under normoxia control cell-type-specific hypoxia responses is observed. We also discover ectopic HIF binding sites in repeat regions which are normally methylated. Genetic and pharmacological DNA demethylation, but also cancer-associated DNA hypomethylation, expose these binding sites, inducing HIF-dependent expression of cryptic transcripts. In line with such cryptic transcripts being more prone to cause double-stranded RNA and viral mimicry, we observe low DNA methylation and high cryptic transcript expression in tumours with high immune checkpoint expression, but not in tumours with low immune checkpoint expression, where they would compromise tumour immunotolerance. In a low-immunogenic tumour model, DNA dem
