gse	tissue	decision	endpoint	gene	is_target	n_filt	mean_pos	mean_neg	delta_mean	n_pos	n_neg	u	p_mw	auc	delta	p_perm	logit_coef	logit_p	logit_or_per_unit	near_detection_floor	reason
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	OR	CD274	0	35	7.193639651	6.4139370252307675	0.7797026257692323	9	26	148.0	0.24967122286074328	0.6324786324786325	0.2649572649572649	0.2623688155922039	0.4808954386255079	0.13453970932799855	1.617522145720314	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	OR	CD8A	0	35	6.5036127831111115	6.845755943846154	-0.34214316073504225	9	26	97.0	0.46174282539108646	0.41452991452991456	-0.1709401709401709	0.47126436781609193	-0.17140319363303222	0.5346415207443308	0.8424818216768969	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	OR	CXCL9	0	35	9.536279167888889	9.583226779884615	-0.04694761199572639	9	26	120.0	0.9248260334871031	0.5128205128205128	0.02564102564102555	0.9265367316341829	-0.013015010767673777	0.949048192056031	0.9870693182408682	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	OR	GZMB	0	35	7.13428270988889	7.734664992153847	-0.6003822822649569	9	26	96.0	0.4390948286289583	0.41025641025641024	-0.17948717948717952	0.4577711144427786	-0.24236812807784397	0.34419580074986644	0.7847672295183931	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	OR	HLA-DRA	0	35	12.73135607988889	12.96534728	-0.23399120011110952	9	26	110.0	0.8062034868688759	0.4700854700854701	-0.05982905982905984	0.808095952023988	-0.12261044234765367	0.6601352127853619	0.8846082013417654	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	OR	IFNG	0	35	4.928883381888888	5.180508863307692	-0.25162548141880325	9	26	100.0	0.5334472631525882	0.42735042735042733	-0.14529914529914534	0.552223888055972	-0.303868982956891	0.48788393450669665	0.7379575451326786	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	OR	PDCD1	0	35	5.577826740888889	5.340019022846154	0.2378077180427347	9	26	129.0	0.664259735925304	0.5512820512820513	0.10256410256410264	0.6691654172913544	0.2283326819165558	0.5518990599325476	1.2565032718235152	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	OR	STAT1	0	35	10.328545796333334	10.926773534115386	-0.598227737782052	9	26	73.0	0.10063110674807273	0.31196581196581197	-0.37606837606837606	0.11044477761119441	-0.6984457066986758	0.11632271898331493	0.49735774314577896	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	DCB	CD274	0	35	6.947816256428571	6.114355580714284	0.8334606757142868	21	14	185.0	0.20670036450499119	0.6292517006802721	0.2585034013605443	0.21389305347326337	0.5667999882768145	0.08011147769146912	1.7626176200835821	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
GSE93157	tumor (NSCLC / HNSCC / melanoma)	document_absent	DCB	CD8A	0	35	7.071085529380953	6.2878123907857155	0.7832731385952378	21	14	190.0	0.15241604672909406	0.6462585034013606	0.2925170068027212	0.1359320339830085	0.4155121346103212	0.121390468076122	1.515146500991108	0	Named series. NanoString PanCancer Immune 730-gene panel (GPL19965). Per-sample RECIST (best.resp) and PFS are present for NSCLC / HNSCC / melanoma anti-PD-1, b
