accession	gds_type	entrytype	taxon	n_samples	gpl	pdat	title	summary	suppfile	ftplink	matched_queries
GDS3904		GDS	Mus musculus	30	6246	2011/03/31	Directed differentiation of embryonic stem cells and induced pluripotent stem cells	Analysis of ES cells and iPS cells before (day 0) and after (day 5) endodermal differentiation. E8.25 embryonic definitive endoderm (DE) was also examined. Results provide insight into the relative equivalency of DE derived from ES/iPS cells in vitro and authentic DE from embryos in vivo.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3904/	TACSTD2 AND silencing
GDS4349		GDS	Homo sapiens	9	570	2012/08/02	E-cadherin/CDH1 intron2 protein isoform overexpression in Mkn28 gastric tubular adenocarcinoma cell line	Analysis of MKN28 cell line (E-cadherin positive) overexpressing E-cadherin isoform CDH1a. CDH1a overexpression promotes mild MKN28 aggregation and increases invasion. Results provide insight into role of CDH1a as a negative modulator of canonical E-cadherin function in cancer cells.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS4nnn/GDS4349/	TACSTD2 AND overexpression
GDS4961		GDS	Mus musculus	7	6885	2014/04/06	Claudin 18 deficiency effect on the lung	Analysis of lungs of claudin 18 (C18) mutants. Claudin are constituents of epithelial and endothelial tight junctions that regulate paracellular permeability to ions and solutes. C18 is expressed in the lung alveolar epthelia (AE). Results provide insight into the role of C18 in AE barrier function.		ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS4nnn/GDS4961/	claudin 4 AND knockout;claudin AND knockout AND lung
GDS5284		GDS	Mus musculus	6	1261	2008/12/01	Hepatocyte nuclear factor 4 alpha deficiency effect on the colon	Analysis of hepatocyte nuclear factor 4 alpha (HNF4-alpha) deficient colons of 1 year old animals. HNF4-alpha is a transcription factor. Deletion of HNF4-alpha confined to the epithelial colon. Results provide insight into the role of HNF4-alpha in maintaining intestinal inflammatory homeostasis.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS5nnn/GDS5284/	claudin 4 AND knockout
GPL570		GPL	Homo sapiens	177529	570	2003/11/07	[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array	Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html June 03, 2009: annotation table updated with netaffx build 28 June 06, 2012: annotation table updated with netaffx build 32 June 23, 2016: annotation table updated with netaffx build 35 Protocol: see manufacturer's web site Complete coverage of the Human Genome U133 Set plus 6,500 additional genes for analysis of over 47,000 transcripts All probe sets represented on the GeneChip Human Genome U133 Set are identically replicated on the GeneChip Human Genome U133 Plus 2.0 Array. The sequences from which these probe sets were derived were selected from GenBank®, dbEST, and RefSeq. The sequence clusters were created from the UniGene database (Build 133, April 20, 2001) and then refined by analysis and comparison with a number of other publicly available databases, including the Washington University EST trace repository and the University of California, Santa Cruz Golden-Path human genome database (April 2001 release). In addition, there are 9,921 new probe sets representing approximately 6,500 new genes. These gene sequences were selected from GenBank, dbEST, and RefSeq. Sequence clusters were created from the UniGene database (Build 159, January 25, 2003) and refined by analysis and comparison with a number of other publicly available databases, including the Washington University EST trace repository and the NCBI human genome assembly (Build 31).		ftp://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL570/	tight junction AND knockdown AND interferon
GPL6885		GPL	Mus musculus	17002	6885	2008/05/21	Illumina MouseRef-8 v2.0 expression beadchip	The MouseRef-8 v2.0 Expression BeadChip offer the most up-to-date content for whole-genome expression profiling in the mouse. Featuring content derived from the National Center for Biotechnology Information Reference Sequence (NCBI RefSeq) database (Build 36, Release 22). Please use the GEO Data Submission Report Plug-in v1.0 for Gene Expression which may be downloaded from https://icom.illumina.com/icom/software.ilmn?id=234 to format the normalized and raw data. These should be submitted as part of a GEOarchive. Instructions for assembling a GEOarchive may be found at http://www.ncbi.nlm.nih.gov/projects/geo/info/spreadsheet.html Protocol: see manufacturer's website	BGX	ftp://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6885/	claudin AND knockout AND lung
GSE100116		GSE	Mus musculus	6	18635	2018/11/20	Transcriptomic analysis of miR-19a-19b-20a subcluster-overexpressed fibroblasts in bleomycin-induced lung fibrosis	Lung fibroblasts play a pivotal role in pulmonary fibrosis, a devastating lung diseases, by producing extracellular matrix. MicroRNAs (miRNAs) suppress a lot of genes posttranscriptionally, but the dynamics and the role of miRNAs in activated lung fibroblasts in fibrotic lung has been poorly understood. We found miR-19a, 19b and 20a subcluster expression increased in activated lung fibroblasts as the fibrosis progression. To elucidate whether fibroblast-specific intervention against miR-19a, 19b and 20a subcluster modulates pathogenic activation of lung fibroblasts in vivo, we intratracheally-transferred the subcluster-overexpressed fibroblasts into bleomycin-treated lungs and performed global transcriptome analysis.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100116/	TACSTD2 AND overexpression
GSE100147		GSE	Mus musculus	13	18635;16331	2018/11/20	Global miRNA expression profiling of lung fibroblasts identifies miR-19a-19b-20a subcluster as a suppressor of TGF-beta-associated fibroblast activation in murine pulmonary fibrosis	This SuperSeries is composed of the SubSeries listed below.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100147/	TACSTD2 AND overexpression
GSE103967		GSE	Mus musculus	135	19057	2018/07/23	Large-scale single cell mapping of the thymic stroma identifies a new thymic epithelial cell lineage [single-cell RNA-seq]	T cell development and selection is orchestrated in the thymus by a specialized niche of diverse stromal populations. By transcriptional single cell sorting, we de novo characterize the entire stromal compartment of the thymus. We identified dozens of cell states within the thymic stroma, with thymic epithelial cells (TEC) showing the highest degree of heterogeneity. Our analysis highlights four major medullary TEC (mTEC I-IV) populations, with distinct molecular functions, epigenetic landscapes and lineage regulators. Specifically, mTEC-IV constitutes a new and highly divergent TEC lineage with molecular characteristics of the gut chemosensory epithelial tuft cells. Mice deficient of Pou2f3, a tuft cells master regulator, resulted in complete and specific depletion of mTEC-IV, without affecting other TEC populations. Overall, our study comprehensively defines all stroma cells in the thymus and identifies a new TEC lineage associated with chemosensory properties that may potentially link the adaptive immune system to environmental and neurological signals.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103967/	Tacstd2 AND deficient
GSE103968		GSE	Mus musculus	8	19057	2018/07/23	Large-scale single cell mapping of the thymic stroma identifies a new thymic epithelial cell lineage [ATAC-seq]	T cell development and selection is orchestrated in the thymus by a specialized niche of diverse stromal populations. By transcriptional single cell sorting, we de novo characterize the entire stromal compartment of the thymus. We identified dozens of cell states within the thymic stroma, with thymic epithelial cells (TEC) showing the highest degree of heterogeneity. Our analysis highlights four major medullary TEC (mTEC I-IV) populations, with distinct molecular functions, epigenetic landscapes and lineage regulators. Specifically, mTEC-IV constitutes a new and highly divergent TEC lineage with molecular characteristics of the gut chemosensory epithelial tuft cells. Mice deficient of Pou2f3, a tuft cells master regulator, resulted in complete and specific depletion of mTEC-IV, without affecting other TEC populations. Overall, our study comprehensively defines all stroma cells in the thymus and identifies a new TEC lineage associated with chemosensory properties that may potentially link the adaptive immune system to environmental and neurological signals.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103968/	Tacstd2 AND deficient
