accession	contrast	unit	metric	n_KL	n_sensitive	mean_KL	mean_sensitive	delta_KL_minus_sensitive	welch_p	mwu_p	rank_biserial	status	note
GSE179502	KL_minus_Restored	mouse	cldn4	3	3	0.3001589526347624	0.14276880458208985	0.15739014805267254	0.035966964855474785	0.1	1.0	ok_proxy	NonRestored ≈ KL (Lkb1 off) vs Restored (Lkb1 on). Restored is K-like (Kras; Lkb1 restored), not KP (no Trp53 arm). n=3 vs 3 mice; MWU cannot beat p=0.1. Sorted neoplastic epithelium.
GSE179502	KL_minus_KP	mouse	cldn4	3	0	0.3001589526347624						no-go	no-go for KL vs KP: series is KT;Lkb1 XTR only (no p53 / KP arm).
GSE179502	KL_minus_K	mouse	cldn4	3	3	0.3001589526347624	0.14276880458208985	0.15739014805267254	0.035966964855474785	0.1	1.0	ok_proxy	Proxy KL vs K: NonRestored minus Restored (Lkb1-on ≈ K). Same numbers as KL_minus_Restored.
GSE179502	KL_minus_Restored	mouse	cldn4_pctpos	3	3	0.28318507605743587	0.138938166721131	0.14424690933630488	0.06788871640815249	0.1	1.0	ok_proxy	NonRestored ≈ KL (Lkb1 off) vs Restored (Lkb1 on). Restored is K-like (Kras; Lkb1 restored), not KP (no Trp53 arm). n=3 vs 3 mice; MWU cannot beat p=0.1. Sorted neoplastic epithelium.
GSE179502	KL_minus_KP	mouse	cldn4_pctpos	3	0	0.28318507605743587						no-go	no-go for KL vs KP: series is KT;Lkb1 XTR only (no p53 / KP arm).
GSE179502	KL_minus_K	mouse	cldn4_pctpos	3	3	0.28318507605743587	0.138938166721131	0.14424690933630488	0.06788871640815249	0.1	1.0	ok_proxy	Proxy KL vs K: NonRestored minus Restored (Lkb1-on ≈ K). Same numbers as KL_minus_Restored.
GSE179502	KL_minus_Restored	mouse	stk11	3	3	0.007295643852436719	0.304956835668876	-0.2976611918164393	1.960601385725585e-05	0.1	-1.0	ok_proxy	NonRestored ≈ KL (Lkb1 off) vs Restored (Lkb1 on). Restored is K-like (Kras; Lkb1 restored), not KP (no Trp53 arm). n=3 vs 3 mice; MWU cannot beat p=0.1. Sorted neoplastic epithelium.
GSE179502	KL_minus_KP	mouse	stk11	3	0	0.007295643852436719						no-go	no-go for KL vs KP: series is KT;Lkb1 XTR only (no p53 / KP arm).
GSE179502	KL_minus_K	mouse	stk11	3	3	0.007295643852436719	0.304956835668876	-0.2976611918164393	1.960601385725585e-05	0.1	-1.0	ok_proxy	Proxy KL vs K: NonRestored minus Restored (Lkb1-on ≈ K). Same numbers as KL_minus_Restored.
GSE179502	KL_minus_Restored	mouse	ifn_score	3	3	0.07094994102588034	0.06696904917397395	0.003980891851906393	0.4657187175798335	0.4	0.5555555555555556	ok_proxy	NonRestored ≈ KL (Lkb1 off) vs Restored (Lkb1 on). Restored is K-like (Kras; Lkb1 restored), not KP (no Trp53 arm). n=3 vs 3 mice; MWU cannot beat p=0.1. Sorted neoplastic epithelium.
GSE179502	KL_minus_KP	mouse	ifn_score	3	0	0.07094994102588034						no-go	no-go for KL vs KP: series is KT;Lkb1 XTR only (no p53 / KP arm).
GSE179502	KL_minus_K	mouse	ifn_score	3	3	0.07094994102588034	0.06696904917397395	0.003980891851906393	0.4657187175798335	0.4	0.5555555555555556	ok_proxy	Proxy KL vs K: NonRestored minus Restored (Lkb1-on ≈ K). Same numbers as KL_minus_Restored.
GSE179502	KL_minus_Restored	mouse	mhc_score	3	3	0.7075947855059871	0.7923388539772885	-0.08474406847130145	0.34587931606322325	0.4	-0.5555555555555556	ok_proxy	NonRestored ≈ KL (Lkb1 off) vs Restored (Lkb1 on). Restored is K-like (Kras; Lkb1 restored), not KP (no Trp53 arm). n=3 vs 3 mice; MWU cannot beat p=0.1. Sorted neoplastic epithelium.
GSE179502	KL_minus_KP	mouse	mhc_score	3	0	0.7075947855059871						no-go	no-go for KL vs KP: series is KT;Lkb1 XTR only (no p53 / KP arm).
GSE179502	KL_minus_K	mouse	mhc_score	3	3	0.7075947855059871	0.7923388539772885	-0.08474406847130145	0.34587931606322325	0.4	-0.5555555555555556	ok_proxy	Proxy KL vs K: NonRestored minus Restored (Lkb1-on ≈ K). Same numbers as KL_minus_Restored.
GSE179502	KL_minus_Restored	mouse	ifn_mhc_score	3	3	0.3892723632659337	0.4296539515756313	-0.040381588309697625	0.3674854746877756	0.4	-0.5555555555555556	ok_proxy	NonRestored ≈ KL (Lkb1 off) vs Restored (Lkb1 on). Restored is K-like (Kras; Lkb1 restored), not KP (no Trp53 arm). n=3 vs 3 mice; MWU cannot beat p=0.1. Sorted neoplastic epithelium.
GSE179502	KL_minus_KP	mouse	ifn_mhc_score	3	0	0.3892723632659337						no-go	no-go for KL vs KP: series is KT;Lkb1 XTR only (no p53 / KP arm).
GSE179502	KL_minus_K	mouse	ifn_mhc_score	3	3	0.3892723632659337	0.4296539515756313	-0.040381588309697625	0.3674854746877756	0.4	-0.5555555555555556	ok_proxy	Proxy KL vs K: NonRestored minus Restored (Lkb1-on ≈ K). Same numbers as KL_minus_Restored.
GSE179502	KL_minus_KP	mouse	tnk_fraction	3	0							no-go	T/NK design no-go: FACS-sorted neoplastic epithelium. Do not invent T/NK.
GSE179502	KL_minus_K	mouse	tnk_fraction	3	3							no-go	T/NK design no-go: FACS-sorted neoplastic epithelium. Do not invent T/NK.
GSE179502	KL_minus_Restored	mouse	tnk_fraction	3	3							no-go	T/NK design no-go: FACS-sorted neoplastic epithelium. Do not invent T/NK.
