accession	contrast	unit	metric	n_KL	n_sensitive	mean_KL	mean_sensitive	delta_KL_minus_sensitive	welch_p	mwu_p	rank_biserial	status	note
GSE267321	KL_minus_K	tumor	tnk_fraction	2	2	0.09744261020669472	0.3968183387295684	-0.2993757285228737	0.05730609609848825	0.3333333333333333	-1.0	ok	KLK (STK11+KEAP1) minus K. No STK11-only KL library. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3.
GSE267321	KLK_minus_K	tumor	tnk_fraction	2	2	0.09744261020669472	0.3968183387295684	-0.2993757285228737	0.05730609609848825	0.3333333333333333	-1.0	ok	Same as KL_minus_K; KLK is the only Stk11-loss arm. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3.
GSE267321	KLK_minus_KK	tumor	tnk_fraction	2	2	0.09744261020669472	0.12548170143029833	-0.02803909122360361	0.7349557519603178	0.6666666666666666	-0.5	ok	KLK minus KEAP1-only KK. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3.
GSE267321	KL_minus_KP	tumor	tnk_fraction	2	0	0.09744261020669472						no-go	no-go for KL vs KP: genotypes are K / KK / KLK only. No p53 / KP arm.
GSE267321	KL_minus_K	tumor	cldn4	2	2	0.0012804097311139564	0.004056480166109077	-0.002776070434995121	0.5508736222844731	0.6666666666666666	-0.5	no-go	Cldn4 essentially empty: 6/7956 cells >0. Non-malignant digest; do not treat Cldn4 as a genotype test.
GSE267321	KLK_minus_K	tumor	cldn4	2	2	0.0012804097311139564	0.004056480166109077	-0.002776070434995121	0.5508736222844731	0.6666666666666666	-0.5	no-go	Cldn4 essentially empty: 6/7956 cells >0. Non-malignant digest; do not treat Cldn4 as a genotype test.
GSE267321	KLK_minus_KK	tumor	cldn4	2	2	0.0012804097311139564	0.00023020257826887662	0.0010502071528450797	0.560895801011202	1.0	0.25	no-go	Cldn4 essentially empty: 6/7956 cells >0. Non-malignant digest; do not treat Cldn4 as a genotype test.
GSE267321	KL_minus_KP	tumor	cldn4	2	0	0.0012804097311139564						no-go	no-go for KL vs KP: genotypes are K / KK / KLK only. No p53 / KP arm.
GSE267321	KL_minus_K	tumor	cldn4_pctpos	2	2	0.12804097311139565	0.09438599057808372	0.03365498253331192	0.8366530283335756	1.0	0.0	no-go	Cldn4 essentially empty: 6/7956 cells >0. Non-malignant digest; do not treat Cldn4 as a genotype test.
GSE267321	KLK_minus_K	tumor	cldn4_pctpos	2	2	0.12804097311139565	0.09438599057808372	0.03365498253331192	0.8366530283335756	1.0	0.0	no-go	Cldn4 essentially empty: 6/7956 cells >0. Non-malignant digest; do not treat Cldn4 as a genotype test.
GSE267321	KLK_minus_KK	tumor	cldn4_pctpos	2	2	0.12804097311139565	0.02302025782688766	0.10502071528450799	0.560895801011202	1.0	0.25	no-go	Cldn4 essentially empty: 6/7956 cells >0. Non-malignant digest; do not treat Cldn4 as a genotype test.
