accession	contrast	unit	metric	n_KL	n_sensitive	mean_KL	mean_sensitive	delta_KL_minus_sensitive	welch_p	mwu_p	rank_biserial	status	note
GSE154989	KL_minus_KP	mouse	cldn4	0	15							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KL_minus_K	mouse	cldn4	0	9							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KL_minus_KP	mouse	cldn4_pctpos	0	15							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KL_minus_K	mouse	cldn4_pctpos	0	9							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KL_minus_KP	mouse	ifn_score	0	15							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KL_minus_K	mouse	ifn_score	0	9							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KL_minus_KP	mouse	mhc_score	0	15							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KL_minus_K	mouse	mhc_score	0	9							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KL_minus_KP	mouse	ifn_mhc_score	0	15							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KL_minus_K	mouse	ifn_mhc_score	0	9							no-go	no-go: GSE154989 is K/KP epithelium only; there is no KL / Stk11-loss arm.
GSE154989	KP_minus_K	mouse	cldn4	15	9	3.73378809263774	2.0074741239300784	1.7263139687076614	0.0077581688176351325	0.02004466862262744	0.5851851851851853	ok_not_KL	Allowed K vs KP epithelial contrast (no KL). n_KL column here is n_KP. T/NK is a design no-go (FACS CD45−).
GSE154989	KP_minus_K	mouse	cldn4_pctpos	15	9	0.5862610255373916	0.314898642349127	0.27136238318826456	0.0011633423467280843	0.0034801997501854	0.7333333333333334	ok_not_KL	Allowed K vs KP epithelial contrast (no KL). n_KL column here is n_KP. T/NK is a design no-go (FACS CD45−).
GSE154989	KP_minus_K	mouse	ifn_score	15	9	0.26948779060423883	0.28175081735712837	-0.012263026752889539	0.7642376277829984	0.8114825221108789	-0.06666666666666665	ok_not_KL	Allowed K vs KP epithelial contrast (no KL). n_KL column here is n_KP. T/NK is a design no-go (FACS CD45−).
GSE154989	KP_minus_K	mouse	mhc_score	15	9	0.9232908146531851	1.2977050352142447	-0.37441422056105966	0.0008684799925080216	0.0005432894646343742	-0.8666666666666667	ok_not_KL	Allowed K vs KP epithelial contrast (no KL). n_KL column here is n_KP. T/NK is a design no-go (FACS CD45−).
GSE154989	KP_minus_K	mouse	ifn_mhc_score	15	9	0.596389302628712	0.7897279262856866	-0.19333862365697452	0.005730643726307701	0.004207551285491748	-0.7185185185185186	ok_not_KL	Allowed K vs KP epithelial contrast (no KL). n_KL column here is n_KP. T/NK is a design no-go (FACS CD45−).
GSE154989	KL_minus_KP	mouse	tnk_fraction	0	0							no-go	T/NK design no-go: FACS tdTomato+/CD45−/CD11b−/TER119−/CD31−. Do not invent T/NK from leak Cd3d/Nkg7.
GSE154989	KL_minus_K	mouse	tnk_fraction	0	0							no-go	T/NK design no-go: FACS tdTomato+/CD45−/CD11b−/TER119−/CD31−. Do not invent T/NK from leak Cd3d/Nkg7.
GSE154989	KP_minus_K	mouse	tnk_fraction	0	0							no-go	T/NK design no-go: FACS tdTomato+/CD45−/CD11b−/TER119−/CD31−. Do not invent T/NK from leak Cd3d/Nkg7.
GSE154989	KP_only_Cldn4_vs_IFN	mouse	spearman_cldn4_ifn	0	15			0.4928571428571427		0.061951006714168644		ok_not_KL	Allowed within-KP Cldn4 vs IFN (Spearman ρ in delta column). n=15 KP mice ≥20 cells.
GSE154989	KP_only_Cldn4_vs_MHC	mouse	spearman_cldn4_mhc	0	15			-0.5		0.05769884126895998		ok_not_KL	Allowed within-KP Cldn4 vs MHC (Spearman ρ in delta column). n=15 KP mice ≥20 cells.
