id,citation,doi,marker,assay,setting,what_exists,public_status,access_note,downloaded,local_path
bessede2024_mif,Bessede et al. Clin Cancer Res 2024;30:779-85,10.1158/1078-0432.CCR-23-2566,TROP2,"5-plex mIHF (PanCK, TROP2, CD8, PD-L1, DAPI); clone EPR2043",advanced NSCLC + ICI (BIP n=50 mIHF; OAK/POPLAR RNA),mIHF images and quantitative scores,NOT PUBLIC,Paper: immunofluorescence datasets are not publicly available (consent). Access requires request to A. Italiano + ethics approval. RNA: EGA EGAS00001005013 (controlled). Extra clinical: Vivli/Roche.,no (not public),results/grok_ihc/raw/bessede_ccr2024/
bessede2024_figshare_S1S4,Bessede et al. AACR Figshare supplements S1-S4,10.1158/1078-0432.25232284 (S1); .25232281 (S2); .25232278 (S3); .25232275 (S4),TROP2 (context only),clinicopathologic tables (not IHC/mIF scores),OAK/POPLAR atezolizumab vs docetaxel; BIP mIHF/plasma,S1 characteristics; S2 multivariate TACSTD2 RNA; S3 BIP mIHF n=50 characteristics; S4 plasma proteomics characteristics,PUBLIC (Figshare),Open DOCX on AACR Figshare. S3 is the mIHF cohort clinical table — no per-patient TROP2 mIF scores.,yes,results/grok_ihc/raw/bessede_ccr2024/ and extracted/bessede_ccr2024/
zenodo_adc_trop2_hscores,ADC target profiling in NSCLC (Zenodo 18543127 / 18494664),10.5281/zenodo.18543127,TROP-2,AI IHC H-score membrane+cytoplasm; TMA images,resected NSCLC n~1142; OS; no ICI annotation advertised,cohort_data.csv with AI H-scores + TMA spots,RESTRICTED,"Zenodo record public, files require login/access request. Download returned login HTML.",no (restricted),results/grok_ihc/raw/zenodo_adc_trop2/
hashimoto2025_scirep,Hashimoto et al. Sci Rep 2025;15:35427,10.1038/s41598-025-19362-3,TROP2,IHC intensity 0-3 x proportion 1-4; OE = 12,advanced NSCLC Nivo-Ipi n=110,aggregated Table 1-3 + Suppl Table A1 (PD-L1/histology x TROP2),PUBLIC,CC-BY article + DOCX supplement downloaded.,yes,results/grok_ihc/raw/hashimoto2025_scirep/ and extracted/hashimoto2025_scirep/
dum2022_tma,Dum et al. Pathobiology 2022;89:245-258,10.1159/000522206,TROP2,"IHC TMA 18,563 tumors; 4-tier score",lung ADC/SCC/SCLC/NET + mesothelioma (no ICI),Table 1 category-level % negative/weak/moderate/strong; raw IPD upon request,PUBLIC (paper table); IPD request-only,PMC9393818 OA. Category table transcribed from paper. PMC OA tarball 404 at fetch.,yes (table transcribed; full PDF blocked by PMC interstitial),results/grok_ihc/extracted/dum2022_trop2_tma/
kuo2025_plosone,Kuo et al. PLoS ONE 2025;20:e0321555,10.1371/journal.pone.0321555,Trop-2,IHC SP295 RPA membrane H-score,NSCLC sample set 1 n=107 IHC; set 2 n=158 IHC,summary H-score stats + S1-S7 figure TIFFs; IPD via Gilead,PUBLIC figures/paper; IPD request-only,datarequest@gilead.com; no patient-level H-score table in supplements.,yes (PDF + S1-S7 TIF),results/grok_ihc/raw/kuo2025_plosone/
pak2012_wjso,Pak et al. World J Surg Oncol 2012;10:53,10.1186/1477-7819-10-53,TROP2,IHC total score 0-12; OE >4,"resected NSCLC AdC n=100, SCC n=64; no ICI",aggregated Tables 1-3 in PDF,PUBLIC,CC article PDF downloaded.,yes,results/grok_ihc/raw/pak2012_wjso/
omori2021_jcrco,Omori et al. J Cancer Res Clin Oncol 2021,10.1007/s00432-021-03784-3,TROP2,IHC score 0-3; high = 3,lung cancer paired pre/post treatment; 5 ICI cases no TROP2 change,Suppl DOCX tables (aggregated high vs low),PUBLIC supplements,MOESM1 docx + MOESM2 pdf downloaded.,yes,results/grok_ihc/raw/omori2021_trop2_lung/
inamura2017_oncotarget,Inamura et al. Oncotarget 2017;8:28725-35,10.18632/oncotarget.15647,TROP2,IHC membrane intensity 0-2; high = I1>=50% or I2>=10%,ADC 270 / SqCC 201 / HGNET 115; no ICI,aggregated high vs no/low tables in paper,PUBLIC paper (CC-BY); publisher 403 at fetch,"High TROP2: ADC 64% (172/270), SqCC 75% (150/201), HGNET 18% (21/115). No IPD table found.",partial (PMC interstitial HTML only),results/grok_ihc/raw/inamura2017_oncotarget/
hpa_pathology,Human Protein Atlas pathology.tsv v23,https://www.proteinatlas.org/about/download,TACSTD2; CLDN4,IHC TMA ordinal High/Medium/Low/Not detected,lung cancer n=10 TACSTD2; n=11 CLDN4; no ICI,"cancer-type counts (not H-score, not IPD)",PUBLIC,v23/v19 pathology.tsv.zip downloaded; current proteinatlas.org/download/pathology.tsv.zip 404.,yes,results/grok_ihc/extracted/hpa/
