accession	n_samples	taxon	gdstype	lung_patient_bulk	title
GSE332629	6	Homo sapiens	Expression profiling by high throughput sequencing	No	Serial Monitoring of Circulating Tumor Cells Reflects Treatment Response Across Systemic Therapies in Unresectable Hepatocellular Carcinoma
GSE333537	35	Homo sapiens	Expression profiling by high throughput sequencing	No	Phase I trial of intravenous VCN-01 oncolytic adenovirus and durvalumab in patients with head and neck metastatic squamous cell carcinoma refractory to immunotherapy
GSE287319	12	Homo sapiens	Expression profiling by high throughput sequencing	No	MVI-targeted carbon-ion radiotherapy combined with immunotherapy for advanced hepatocellular carcinoma: Phase Ib DEPARTURE trial
GSE322576	38	Homo sapiens	Expression profiling by high throughput sequencing; Other	No	Inflammatory arthritis immune related adverse events represent a unique autoimmune disease entity primarily driven by T cells, but likely not autoantibodies
GSE318308	75	Homo sapiens	Expression profiling by high throughput sequencing	No	Phase II proof-of-concept study of durvalumab and cediranib with and without olaparib in recurrent ovarian cancer
GSE318420	210	Homo sapiens	Expression profiling by high throughput sequencing; Other	No	Immunosuppressive monocytes are enriched in hepatocellular carcinoma patients with liver dysfunction in a phase II trial of combination sorafenib and nivolumab
GSE313642	194	Homo sapiens	Expression profiling by high throughput sequencing; Other	No	Immunosuppressive monocytes are enriched in hepatocellular carcinoma patients with liver dysfunction in a phase II trial of combination sorafenib and nivolumab [CITE-Seq]
GSE307471	33	Mus musculus; Homo sapiens	Expression profiling by high throughput sequencing	No	Intratumoral bacteria are immunosuppressive and promote immunotherapy resistance in head and neck squamous cell carcinoma
GSE286827	87	Homo sapiens	Expression profiling by high throughput sequencing	No	4-1BB+ Tregs and inhibitory progenitor exhausted T cells confer resistance to anti-PD-L1 and anti-CTLA-4 combination therapy
GSE306800	18	Homo sapiens	Expression profiling by high throughput sequencing	No	Extracellular matrix-myCAF signatures correlate with resistance to neoadjuvant aPD-L1 immune checkpoint inhibition with durvalumab + metformin in HPV+ HNSCC
GSE273030	27	Homo sapiens	Expression profiling by high throughput sequencing	No	Avelumab induces superior Fc-Fc receptor-dependent natural killer cell stimulation and dendritic cell cross-talk compared to durvalumab
GSE296826	256	Homo sapiens	Expression profiling by high throughput sequencing	No	Raw RNA-sequencing data for deriving BCR sequences from the NIH U01 project: Finding the optimal balance of immunotherapy efficacy and toxicity.
GSE284205	7	Homo sapiens	Expression profiling by high throughput sequencing	No	Anti-VEGF treatment potentiates ICB responses through a BAFF and IL-12-dependent reprogramming of the TME
GSE249974	14	Homo sapiens	Expression profiling by high throughput sequencing	No	Anti-VEGF treatment enhances antitumor responses by targeting regulatory T cells
GSE225066	26	Homo sapiens	Expression profiling by high throughput sequencing	No	Transcriptomic profiling performed in bladder carcinomas collected from Neodurvarib clinical trial (NCT03534492)
GSE284400	78	Homo sapiens	Expression profiling by high throughput sequencing; Other	No	Gene expression and mutation profiles in advanced-stage epithelial ovarian cancer (EOC)
GSE216495	36	Homo sapiens	Expression profiling by high throughput sequencing	No	Nonclinical in-vitro evaluation of the transcriptomic and metabolic effects of immune checkpoint inhibitors on sunitinib-resistant renal cell carcinoma
GSE248514	46	Homo sapiens	Expression profiling by array	No	Coupling of response biomarkers between tumour and peripheral blood in mesothelioma patients undergoing chemoimmunotherapy
GSE271668	24	Homo sapiens	Expression profiling by high throughput sequencing	No	Phase 1 trial of durvalumab (anti-PD-L1) in combination with lenalidomide in relapsed/refractory cutaneous T cell lymphoma
GSE226969	36	Homo sapiens	Expression profiling by high throughput sequencing	No	Transcriptomic and metabolic effect of immune checkpoint inhibitors on cellular components in renal cell tumor microenvironment and in Sunitinib resistant renal cell carcinoma
GSE226968	12	Homo sapiens	Expression profiling by high throughput sequencing	No	Transcriptomic and metabolic effect of immune checkpoint inhibitors on cellular components in renal cell tumor microenvironment and in Sunitinib resistant renal cell carcinoma [III]
GSE226967	12	Homo sapiens	Expression profiling by high throughput sequencing	No	Transcriptomic and metabolic effect of immune checkpoint inhibitors on cellular components in renal cell tumor microenvironment and in Sunitinib resistant renal cell carcinoma [II]
GSE254054	120	Homo sapiens	Expression profiling by high throughput sequencing; Other	No	Clinical and Biomarker Results from A Phase II Trial of Combined Cabozantinib and Durvalumab in Patients with Chemotherapy-refractory Colorectal Cancer (CRC): CAMILLA CRC Cohort
GSE253564	32	Homo sapiens	Expression profiling by high throughput sequencing	Yes	Features associated with enhanced proliferation define lung tumors that respond to dual immune checkpoint and radiation therapy
GSE253260	397	Homo sapiens	Expression profiling by high throughput sequencing	No	TRANSCRIPTOMIC ANALYSIS ON ENDOSCOPIC ULTRASOUND FINE NEEDLE ASPIRATION MATERIALS FROM PRIMARY PANCREATIC ADENOCARCINOMA
GSE248378	29	Homo sapiens	Expression profiling by high throughput sequencing	Yes	Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial
GSE235920	42	Homo sapiens	Expression profiling by high throughput sequencing; Other	No	First-line durvalumab and tremelimumab with chemotherapy in RAS-mutated metastatic colorectal cancer: a phase 1b/2 trial
GSE235919	34	Homo sapiens	Expression profiling by high throughput sequencing	No	First-line durvalumab and tremelimumab with chemotherapy in RAS-mutated metastatic colorectal cancer: a phase 1b/2 trial [RNA-Seq]
GSE235917	8	Homo sapiens	Expression profiling by high throughput sequencing; Other	No	First-line durvalumab and tremelimumab with chemotherapy in RAS-mutated metastatic colorectal cancer: a phase 1b/2 trial [scRNA-Seq]
GSE210287	22	Homo sapiens	Expression profiling by high throughput sequencing	No	Towards a mechanistic understanding of patient response to neoadjuvant SBRT with anti-PDL1 in human HPV-unrelated locally advanced HNSCC: Phase I/Ib trial results
GSE140278	34	Homo sapiens	Expression profiling by array	No	nCounter analysis of mRNAs associated with muscle invasive urothelial bladder carcinoma (MIBC) using a Nanostring custom assay
GSE195648	9	Homo sapiens	Expression profiling by high throughput sequencing	No	Checkpoint Inhibitors Modulate Plasticity of Innate Lymphoid Cells in Peripheral Blood of Patients with Hepatocellular Carcinoma
GSE190731	23	Homo sapiens	Expression profiling by array	No	Expression data from durvalumab, oleclumab and combo-treated xenograft NSCLC tumors
GSE161244	12	Mus musculus	Expression profiling by high throughput sequencing	No	ALPN-202 induces a more potent anti-tumor T cell response in MC38/hPD-L1 tumors than PD-L1 blockade alone
GSE183924	37	Homo sapiens	Expression profiling by high throughput sequencing	No	A Phase II Trial of Adjuvant Durvalumab following Trimodality Therapy for Locally Advanced Esophageal and Gastroesophageal Junction Adenocarcinoma: A Big Ten Cancer Research Consortium Study
GSE131933	8	Homo sapiens	Expression profiling by high throughput sequencing	No	Effects of durvalumab alone or combined with tremelimumab on preexisting cells in the tumor microenvironment
GSE173839	105	Homo sapiens	Expression profiling by array	No	Durvalumab with olaparib and paclitaxel for high-risk HER2-negative stage II/III breast cancer: Results from the adaptively randomized I-SPY2 platform trial
GSE176307	90	Homo sapiens	Expression profiling by high throughput sequencing	No	Fibroblast Growth Factor Receptor 3 Alterations and Response to Immune Checkpoint Inhibition in Metastatic Urothelial Cancer: A Real World Experience
GSE172320	90	Mus musculus	Expression profiling by array	No	Gene Expression profile for the characterization of PD-L1 blockade in melanoma model
GSE172239	90	Mus musculus	Expression profiling by array	No	Gene Expression profile for the characterization of PD-L1 blockade in melanoma model
GSE139050	6	Homo sapiens	Expression profiling by high throughput sequencing	No	Immuno-priming with bevacizumab: durvalumab plus bevacizumab after prolonged exposition to bevacizumab in breast cancer
GSE158403	95	Homo sapiens	Expression profiling by high throughput sequencing	No	PD-L1 blockade in combination with inhibition of MAPK oncogenic signaling in patients with advanced melanoma
GSE148476	62	Homo sapiens	Expression profiling by high throughput sequencing	No	Transcriptome analysis of purified T cells from chronic lymphocytic leukemia patients treated with avadomide alone or in combination with immune checkpoint blocking antibodies
GSE110390	159	Homo sapiens	Expression profiling by high throughput sequencing	Partial	Interferon Gamma mRNA Signature in Tumor Biopsies Predicts Outcomes in Patients with Non–Small-Cell Lung Carcinoma or Urothelial Cancer Treated with Durvalumab
