split	direction	interaction_name	pathway_name	ligand	receptor	focus	ligand_class	n_paired	n_GSE131907	n_GSE205335	median_prob_high	median_prob_low	delta_median	median_paired_delta	p	thin	test	note
median	outgoing	CD274_PDCD1	PD-L1	CD274	PDCD1	CD274–PDCD1	inhibitory	6	4	2	0.010396305582260307	0.0016727895912857509	0.008723515990974557	0.005718105882114357	0.09375	True	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_CD8A	MHC-I	HLA-E	CD8A	MHC-I	inhibitory	46	27	19	0.3389447170466686	0.2635064697219446	0.07543824732472404	0.052707855877845544	5.095428150525549e-07	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_CD8B	MHC-I	HLA-E	CD8B	MHC-I	inhibitory	41	23	18	0.23788698440942738	0.21093175087110322	0.026955233538324158	0.056292223782732784	9.396662790095434e-07	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-A_CD8A	MHC-I	HLA-A	CD8A	MHC-I	other	46	27	19	0.5513320038284009	0.52871778262699	0.022614221201410878	0.018125698051096817	2.5459397676286244e-05	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-C_CD8A	MHC-I	HLA-C	CD8A	MHC-I	other	46	27	19	0.5380266528468396	0.48783113063754807	0.05019552220929152	0.020132119683308747	2.8618401898938828e-05	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_KLRC2	MHC-I	HLA-E	KLRC2	MHC-I	inhibitory	15	4	11	0.17928583150863872	0.10161271856236098	0.07767311294627774	0.05673495628985281	6.103515625e-05	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-C_CD8B	MHC-I	HLA-C	CD8B	MHC-I	other	41	23	18	0.41895324505284	0.41465539714289795	0.004297847909942032	0.022676856355005784	7.864533290558029e-05	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-A_CD8B	MHC-I	HLA-A	CD8B	MHC-I	other	41	23	18	0.46532043563352987	0.43129069215335714	0.034029743480172736	0.01784679605238948	0.00010187543557549361	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	MHC-I	inhibitory	14	9	5	0.1230705160531175	0.10850601928435215	0.014564496768765353	0.03344138865723228	0.0001220703125	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-B_CD8A	MHC-I	HLA-B	CD8A	MHC-I	other	46	27	19	0.5424989360760277	0.5124128043897171	0.03008613168631058	0.020804922061109593	0.00030973913234788597	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-F_CD8B	MHC-I	HLA-F	CD8B	MHC-I	other	36	21	15	0.07222852687696568	0.043803989928989255	0.028424536947976427	0.017674727815528438	0.0010565961129032075	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-B_CD8B	MHC-I	HLA-B	CD8B	MHC-I	other	41	23	18	0.433438759761695	0.45991199434436564	-0.026473234582670646	0.017253856162317532	0.0011332355643389747	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-F_CD8A	MHC-I	HLA-F	CD8A	MHC-I	other	39	24	15	0.12004719991257536	0.07299556803666102	0.04705163187591434	0.024179235685373654	0.0013167040960979648	False	wilcoxon_signed_rank_paired_patient	
