panel,symbol,role,on_platform,scored_ge2_arrays,n_probes,n_arrays,raw_symbols,mapping,mapped_via,GSM558700,GSM558701,GSM558702,mean_log2_KD_over_ctrl,median_log2_KD_over_ctrl,t_1samp,p_1samp,q_BH_within_panel,direction_median
NHEJ,POLL,gap-fill polymerase,yes,yes,1,3,POLL,current_symbol,ORF,1.6554,-0.0145,0.1506,0.5972,0.1506,1.1241,0.3778,0.6787,UP
NHEJ,POLM,gap-fill polymerase,yes,yes,2,3,POLM,current_symbol,ORF,-0.9900,1.1020,-1.5639,-0.4840,-0.9900,-0.5974,0.6109,0.6787,DOWN
STING,CGAS,DNA sensor,yes,yes,1,2,C6orf150,synonym:C6orf150,ORF,-0.6439,,-0.3401,-0.4920,-0.4920,-3.2390,0.1906,0.7848,DOWN
STING,STING1,adaptor,no,no,0,0,,absent,,,,,,,,,,NA
STING,TBK1,kinase,no,no,0,0,,absent,,,,,,,,,,NA
STING,IKBKE,kinase,yes,yes,2,3,IKBKE,current_symbol,ORF,-0.1361,1.0874,0.7744,0.5752,0.7744,1.5676,0.2575,0.7848,UP
STING,IRF3,transcription factor,yes,yes,2,3,IRF3,current_symbol,ORF,1.8806,-1.1844,2.4974,1.0645,1.8806,0.9351,0.4485,0.7848,UP
STING,DDX41,DNA sensor,yes,yes,1,3,DDX41,current_symbol,ORF,0.2510,0.1763,-0.3219,0.0351,0.1763,0.1954,0.8631,0.9778,UP
STING,IFI16,DNA sensor,yes,yes,2,3,IFI16,current_symbol,ORF,-0.0367,1.1243,-1.0291,0.0195,-0.0367,0.0313,0.9778,0.9778,DOWN
STING,TREX1,negative regulator; cytosolic DNA,yes,yes,1,2,TREX1,current_symbol,ORF,-0.5146,,1.7093,0.5974,0.5974,0.5372,0.6862,0.9606,UP
STING,ENPP1,negative regulator; cGAMP,yes,yes,1,3,ENPP1,current_symbol,ORF,-3.1844,0.7398,-1.7859,-1.4102,-1.7859,-1.2281,0.3443,0.7848,DOWN
IFN,ISG15,IFN program,yes,yes,1,3,G1P2,synonym:G1P2,ORF,0.7137,1.7949,-1.0589,0.4832,0.7137,0.5809,0.62,0.9543,UP
IFN,MX1,IFN program,yes,yes,1,2,MX1,current_symbol,ORF,-0.0740,,0.7908,0.3584,0.3584,0.8289,0.5594,0.9543,UP
IFN,MX2,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,OAS1,IFN program,yes,yes,1,3,OAS1,current_symbol,ORF,0.7398,-0.6897,0.6323,0.2275,0.6323,0.4949,0.6697,0.9543,UP
IFN,OAS2,IFN program,yes,yes,1,3,OAS2,current_symbol,ORF,-0.2863,2.8115,0.1110,0.8787,0.1110,0.9030,0.4618,0.9543,UP
IFN,OAS3,IFN program,yes,yes,1,3,OAS3,current_symbol,ORF,1.2265,-0.3585,0.5753,0.4811,0.5753,1.0459,0.4054,0.9543,UP
IFN,OASL,IFN program,yes,yes,1,2,OASL,current_symbol,ORF,-2.2515,0.8400,,-0.7058,-0.7058,-0.4566,0.7273,0.9543,DOWN
IFN,RSAD2,IFN program,yes,no,1,0,cig5,synonym:cig5,ORF,,,,,,,,,NA
IFN,IFIT1,IFN program,yes,yes,1,3,IFIT1,current_symbol,ORF,-2.8365,-1.1203,-2.1203,-2.0257,-2.1203,-4.0703,0.05539,0.9543,DOWN
IFN,IFIT2,IFN program,yes,yes,1,3,IFIT2,current_symbol,ORF,-1.5146,1.6736,-1.3219,-0.3876,-1.3219,-0.3756,0.7433,0.9543,DOWN
IFN,IFIT3,IFN program,yes,yes,1,3,IFIT3,current_symbol,ORF,-0.5995,-0.7859,1.3448,-0.0135,-0.5995,-0.0199,0.986,0.9860,DOWN
IFN,IFIT5,IFN program,yes,yes,1,3,IFIT5,current_symbol,ORF,0.1635,-0.1520,-0.0291,-0.0059,-0.0291,-0.0639,0.9549,0.9860,DOWN
IFN,IFITM1,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,IFITM2,IFN program,yes,yes,2,3,IFITM2,current_symbol,ORF,0.7527,2.7302,-0.2542,1.0762,0.7527,1.2277,0.3444,0.9543,UP
IFN,IFITM3,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,IFI6,IFN program,yes,yes,1,3,G1P3,synonym:G1P3,ORF,0.9336,-0.8625,0.1110,0.0607,0.1110,0.1169,0.9176,0.9809,UP
IFN,IFI27,IFN program,yes,yes,1,3,IFI27,current_symbol,ORF,-2.6439,2.8420,-2.3219,-0.7079,-2.3219,-0.3983,0.7289,0.9543,DOWN
IFN,IFI35,IFN program,yes,yes,1,3,IFI35,current_symbol,ORF,-1.4344,0.2388,-1.4344,-0.8767,-1.4344,-1.5718,0.2566,0.9543,DOWN
IFN,IFI44,IFN program,yes,yes,1,2,IFI44,current_symbol,ORF,-1.3585,,-2.0000,-1.6793,-1.6793,-5.2354,0.1202,0.9543,DOWN
IFN,IFI44L,IFN program,yes,yes,2,3,C1orf29,synonym:C1orf29,ORF,1.5908,-1.0294,-1.9152,-0.4513,-1.0294,-0.4288,0.7099,0.9543,DOWN
IFN,IFI16,IFN program,yes,yes,2,3,IFI16,current_symbol,ORF,-0.0367,1.1243,-1.0291,0.0195,-0.0367,0.0313,0.9778,0.9860,DOWN
IFN,RIGI,IFN program,yes,yes,1,2,DDX58,synonym:DDX58,ORF,,-0.6439,-2.2515,-1.4477,-1.4477,-1.8011,0.3227,0.9543,DOWN
IFN,IFIH1,IFN program,yes,yes,1,3,IFIH1,current_symbol,ORF,-0.4941,-0.9714,-1.3219,-0.9291,-0.9714,-3.8730,0.06066,0.9543,DOWN
IFN,DDX60,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,XAF1,IFN program,yes,yes,1,2,HSXIAPAF1,synonym:HSXIAPAF1,ORF,,0.4436,0.4436,0.4436,0.4436,,,,UP
IFN,HERC5,IFN program,yes,yes,1,3,HERC5,current_symbol,ORF,-0.0439,0.0704,1.5607,0.5291,0.0704,1.0236,0.4137,0.9543,UP
IFN,USP18,IFN program,yes,yes,1,3,USP18,current_symbol,ORF,2.3306,-3.6439,3.2095,0.6321,2.3306,0.2936,0.7967,0.9543,UP
IFN,CMPK2,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,BST2,IFN program,yes,yes,1,3,BST2,current_symbol,ORF,-0.8625,0.9782,-0.8110,-0.2318,-0.8110,-0.3830,0.7386,0.9543,DOWN
IFN,GBP1,IFN program,yes,yes,1,3,GBP1,current_symbol,ORF,-2.8365,-0.3585,-3.6439,-2.2796,-2.8365,-2.3063,0.1475,0.9543,DOWN
IFN,GBP2,IFN program,yes,yes,1,3,GBP2,current_symbol,ORF,0.4114,-0.7131,-1.0589,-0.4535,-0.7131,-1.0218,0.4143,0.9543,DOWN
IFN,GBP4,IFN program,yes,yes,1,2,GBP4,current_symbol,ORF,0.4222,-0.7370,,-0.1574,-0.1574,-0.2716,0.8312,0.9543,DOWN
IFN,GBP5,IFN program,yes,yes,2,3,GBP5,current_symbol,ORF,-1.6258,0.6400,-1.9040,-0.9633,-1.6258,-1.1957,0.3544,0.9543,DOWN
IFN,EIF2AK2,IFN program,yes,yes,2,3,PRKR,synonym:PRKR,ORF,-0.6379,1.2245,-0.1793,0.1358,-0.1793,0.2423,0.8311,0.9543,DOWN
IFN,ZBP1,IFN program,yes,yes,1,3,ZBP1,current_symbol,ORF,0.8319,-0.5995,-1.0589,-0.2755,-0.5995,-0.4839,0.6763,0.9543,DOWN
IFN,STAT1,IFN program,yes,yes,3,3,STAT1,current_symbol,ORF,0.1110,0.8237,0.4824,0.4723,0.4824,2.2952,0.1486,0.9543,UP
IFN,STAT2,IFN program,yes,yes,2,3,STAT2,current_symbol,ORF,-0.7041,-0.0491,-0.6695,-0.4742,-0.6695,-2.2285,0.1557,0.9543,DOWN
IFN,IRF1,IFN program,yes,yes,1,3,IRF1,current_symbol,ORF,-1.0291,-0.0439,0.3448,-0.2427,-0.0439,-0.5937,0.6129,0.9543,DOWN
IFN,IRF7,IFN program,yes,yes,2,3,IRF7,current_symbol,ORF,-0.1419,0.5423,0.4182,0.2729,0.4182,1.2966,0.3242,0.9543,UP
IFN,IRF9,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,JAK2,IFN program,yes,yes,2,3,JAK2,current_symbol,ORF,1.8032,2.3683,1.2044,1.7919,1.8032,5.3324,0.03342,0.9543,UP
IFN,SOCS1,IFN program,yes,yes,1,2,SOCS1,current_symbol,ORF,-0.4344,,-1.5564,-0.9954,-0.9954,-1.7743,0.3267,0.9543,DOWN
IFN,SOCS3,IFN program,yes,yes,1,3,SOCS3,current_symbol,ORF,0.2987,-0.5995,3.7060,1.1351,0.2987,0.8656,0.478,0.9543,UP
IFN,B2M,IFN program,yes,yes,1,3,B2M,current_symbol,ORF,-2.5564,2.2296,-3.1844,-1.1704,-2.5564,-0.6846,0.5643,0.9543,DOWN
IFN,TAP1,IFN program,yes,yes,2,3,TAP1,current_symbol,ORF,-1.9030,2.3537,-1.4717,-0.3403,-1.4717,-0.2516,0.8249,0.9543,DOWN
IFN,TAP2,IFN program,yes,yes,3,3,TAP2,current_symbol,ORF,-0.5564,-3.0589,-0.1681,-1.2611,-0.5564,-1.3922,0.2985,0.9543,DOWN
IFN,PSMB8,IFN program,yes,yes,2,3,PSMB8,current_symbol,ORF,0.3274,1.0575,-0.1330,0.4173,0.3274,1.2040,0.3518,0.9543,UP
IFN,PSMB9,IFN program,yes,yes,2,3,PSMB9,current_symbol,ORF,0.9381,3.0522,1.7093,1.8999,1.7093,3.0757,0.09144,0.9543,UP
IFN,NLRC5,IFN program,yes,yes,2,3,NOD27,synonym:NOD27,ORF,4.1376,0.6708,-0.5146,1.4313,0.6708,1.0254,0.413,0.9543,UP
IFN,HLA-A,IFN program,yes,yes,11,3,HLA-A,current_symbol,DESCRIPTION_PREFIX,-1.5995,0.7975,-1.7370,-0.8463,-1.5995,-1.0285,0.4118,0.9543,DOWN
IFN,HLA-B,IFN program,yes,yes,1,3,HLA-B,current_symbol,DESCRIPTION_PREFIX,-1.5564,2.3277,-2.1203,-0.4497,-1.5564,-0.3216,0.7783,0.9543,DOWN
IFN,HLA-C,IFN program,yes,yes,3,3,HLA-C,current_symbol,DESCRIPTION_PREFIX,-1.2515,1.0566,-1.2515,-0.4821,-1.2515,-0.6267,0.5949,0.9543,DOWN
IFN,HLA-E,IFN program,yes,yes,1,3,HLA-E,current_symbol,DESCRIPTION_PREFIX,0.8718,-1.5564,1.7991,0.3715,0.8718,0.3713,0.746,0.9543,UP
IFN,HLA-F,IFN program,yes,yes,2,3,HLA-F,current_symbol,DESCRIPTION_PREFIX,-1.8929,1.1540,-1.3251,-0.6880,-1.3251,-0.7355,0.5386,0.9543,DOWN
IFN,TAPBP,IFN program,yes,yes,3,3,TAPBP,current_symbol,ORF,-1.3585,0.5460,-0.5601,-0.4575,-0.5601,-0.8286,0.4945,0.9543,DOWN
IFN,CXCL10,"STING transcriptional output, scored in IFN",yes,yes,1,2,CXCL10,current_symbol,ORF,,6.5048,-0.4540,3.0254,3.0254,0.8695,0.5444,0.9543,UP
IFN,CXCL11,IFN program,yes,yes,1,3,CXCL11,current_symbol,ORF,-3.6439,1.6960,2.9241,0.3254,1.6960,0.1614,0.8866,0.9644,UP
IFN,CXCL9,IFN program,yes,no,1,1,CXCL9,current_symbol,ORF,,,-0.1361,-0.1361,-0.1361,,,,NA
IFN,CCL5,IFN program,yes,no,1,1,CCL5,current_symbol,ORF,,,-0.8625,-0.8625,-0.8625,,,,NA
IFN,CCL2,IFN program,yes,yes,1,3,CCL2,current_symbol,ORF,1.1763,0.6599,0.2510,0.6957,0.6599,2.5988,0.1216,0.9543,UP
IFN,IL6,IFN program,yes,yes,2,3,IL6,current_symbol,ORF,-1.2176,1.2388,-0.7180,-0.2323,-0.7180,-0.3099,0.786,0.9543,DOWN
IFN,TNF,IFN program,yes,yes,1,3,TNF,current_symbol,ORF,-0.4941,1.6088,-0.5778,0.1790,-0.4941,0.2502,0.8258,0.9543,DOWN
IFN,NFKB1,IFN program,yes,yes,1,3,NFKB1,current_symbol,ORF,-0.6215,0.6960,-2.1844,-0.7033,-0.6215,-0.8448,0.4872,0.9543,DOWN
IFN,RELA,IFN program,yes,yes,1,3,RELA,current_symbol,ORF,1.8520,-2.3959,2.5084,0.6548,1.8520,0.4260,0.7116,0.9543,UP
IFN,IL15,IFN program,yes,yes,3,3,IL15,current_symbol,ORF,0.9184,-0.3585,0.6323,0.3974,0.6323,1.0272,0.4123,0.9543,UP
IFN,IL32,IFN program,yes,yes,2,3,NK4,synonym:NK4,ORF,0.8787,-1.1001,0.3552,0.0446,0.3552,0.0753,0.9468,0.9860,UP
IFN,IFNB1,"STING transcriptional output, scored in IFN",yes,yes,1,2,IFNB1,current_symbol,ORF,,4.4919,-3.0589,0.7165,0.7165,0.1898,0.8806,0.9644,UP
IFN,IFNG,IFN program,yes,yes,1,3,IFNG,current_symbol,ORF,-0.2688,-0.8110,-3.4739,-1.5179,-0.8110,-1.5325,0.2651,0.9543,DOWN
IFN,IFNAR1,IFN program,yes,yes,1,3,IFNAR1,current_symbol,ORF,-1.3585,-1.2176,-0.1844,-0.9202,-1.2176,-2.4861,0.1308,0.9543,DOWN
IFN,IFNAR2,IFN program,yes,yes,1,3,IFNAR2,current_symbol,ORF,0.0841,1.2449,-2.6439,-0.4383,0.0841,-0.3803,0.7403,0.9543,UP
IFN,IFNGR1,IFN program,yes,yes,1,3,IFNGR1,current_symbol,ORF,0.6415,0.1375,-2.2515,-0.4908,0.1375,-0.5501,0.6375,0.9543,UP
IFN,IFNGR2,IFN program,yes,yes,1,3,IFNGR2,current_symbol,ORF,-1.7859,1.0496,1.2869,0.1835,1.0496,0.1859,0.8696,0.9644,UP
IFN,IFNL1,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
BREAK_MARKERS,H2AX,DNA-break histone; was H2AFX,yes,yes,1,3,H2AFX,synonym:H2AFX,ORF,0.4005,1.8197,0.0976,0.7726,0.4005,1.4555,0.2828,0.5166,UP
BREAK_MARKERS,TP53BP1,"53BP1; pathway choice, not a ligase",yes,yes,1,3,TP53BP1,current_symbol,ORF,0.4436,-0.4150,-1.0291,-0.3335,-0.4150,-0.7809,0.5166,0.5166,DOWN
PERTURBATION,CLDN4,CLDN4 siRNA target,yes,yes,1,2,CLDN4,current_symbol,ORF,,-1.7370,-0.7131,-1.2250,-1.2250,-2.3929,0.252,0.2520,DOWN
