dataset	accession	modality	species	cancer	ici_related	file_name	url	file_size_bytes	downloaded	skipped_reason	contains_TACSTD2	contains_CLDN4	notes
CPTAC_LUAD_v1.2	CPTAC freeze v1.2 LUAD	TMT_proteomics_gene	Homo sapiens	LUAD	no_treatment_naive	LUAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt	20132337	yes		yes_complete	yes_with_NAs	Open processed tumor protein matrix. ENSG00000184292 and ENSG00000189143 present.
CPTAC_LSCC_v1.2	CPTAC freeze v1.2 LSCC	TMT_proteomics_gene	Homo sapiens	LSCC	no_treatment_naive	LSCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LSCC/LSCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt	20631271	yes		yes_complete	yes_with_NAs	LSCC sibling of the specified LUAD protein matrix.
CPTAC_LUAD_v1.2	CPTAC freeze v1.2 LUAD	phenotype_immune_scores	Homo sapiens	LUAD	no_treatment_naive	LUAD_phenotype.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_phenotype.txt	210137	yes				Same freeze. ESTIMATE/xCell/CIBERSORT (RNA-derived). No ICI labels.
CPTAC_LSCC_v1.2	CPTAC freeze v1.2 LSCC	phenotype_immune_scores	Homo sapiens	LSCC	no_treatment_naive	LSCC_phenotype.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LSCC/LSCC_phenotype.txt	212329	yes				Same freeze phenotype sibling.
CPTAC_LUAD_v1.2	CPTAC freeze v1.2 LUAD	survival	Homo sapiens	LUAD	no_treatment_naive	LUAD_survival.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_survival.txt	2485	yes				OS/PFS after resection; not ICI survival.
CPTAC_LSCC_v1.2	CPTAC freeze v1.2 LSCC	survival	Homo sapiens	LSCC	no_treatment_naive	LSCC_survival.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LSCC/LSCC_survival.txt	2471	yes				OS/PFS after resection; not ICI survival.
CPTAC_LUAD_v1.2	CPTAC freeze v1.2 LUAD	clinical_meta	Homo sapiens	LUAD	no_treatment_naive	LUAD_meta.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_meta.txt	12232	yes				Age/Sex/Stage/smoking/driver mutations. No ICI field.
CPTAC_LSCC_v1.2	CPTAC freeze v1.2 LSCC	clinical_meta	Homo sapiens	LSCC	no_treatment_naive	LSCC_meta.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LSCC/LSCC_meta.txt	12051	yes				Same freeze clinical sibling.
PXD042091	PXD042091	SWATH_plasma_quant	Homo sapiens	metastatic_NSCLC	yes_immunotherapy_plasma	6_data_tf_response.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD042091/6_data_tf_response.txt	4095284	yes		no_not_quantified	no_not_quantified	Processed SWATH table (responder vs nonresponder). TACSTD2/CLDN4 not quantified.
PXD042091	PXD042091	SWATH_plasma_quant	Homo sapiens	metastatic_NSCLC	yes_immunotherapy_plasma	2_dat_cs_all.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD042091/2_dat_cs_all.txt	15058514	yes		no_not_quantified	no_not_quantified	All-sample SWATH matrix. TACSTD2/CLDN4 not quantified.
PXD042091	PXD042091	spectral_library	Homo sapiens	NSCLC_library	yes_immunotherapy_plasma	NSClibrary.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD042091/NSClibrary.txt	280967110	yes		yes_library_only	yes_library_only	Library includes TACD2_HUMAN and CLD4_HUMAN peptides; not sample quantification.
PXD042091	PXD042091	raw_SWATH	Homo sapiens	metastatic_NSCLC	yes_immunotherapy_plasma	*.wiff / *.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD042091/		no	raw_MS			Skipped raw vendor files as required.
PXD059688	PXD059688	mzTab_quant	Mus musculus	LLC_syngeneic	yes_antiPD1_plus_ascorbate	20230904_Tumor_AA.mzTab.gz	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059688/20230904_Tumor_AA.mzTab.gz	331305	yes		no_in_processed_mzTab	no_in_processed_mzTab	Only processed table <2GB. 93 PRT rows, methyltransferase-focused. Tacstd2/Cldn4 absent.
