accession	humanization	tumor	assay	public_matrix	n	IO_context	spatial_or_nest	TACSTD2_CLDN4_usable	CD8_usable	verdict
GSE260575	PBMC into MHC I/II dKO NSG	H460 CDX, subcutaneous	Lexogen QuantSeq 3' bulk, hg19 gene counts	yes, 12 sample count files	12 (4 arms x 3)	pembrolizumab +/- Bojungikki-Tang	no; paper IHC is PD-1/LAG-3 on CD4/CD8, not nest vs stroma	TACSTD2 = 0 in all 12; CLDN4 present	CD8A near floor (0-16 counts); CD8B almost all zero	cannot test nest; cannot test TACSTD2
GSE276724	CD34-NSG (JAX) per paper; GEO samples unlabeled by treatment	5 Yonsei NSCLC PDX (YHIM-1062/1018/2018/2004/1013)	bulk RNA-seq counts in xlsx	yes, GSE276724_Bulk-RNA-Seq_PDX.xlsx	15 (5 PDX x 3)	paper is denfivontinib + pembrolizumab on YHIM-2004; deposited matrix has PDX labels only	no	both expressed; one YHIM-2004 replicate is epithelial dropout	CD8A/CD8B present, highly PDX-driven	bulk CD8 != nest; purity-confounded; effective n ~ 5 PDX
GSE293914	PBMC + H1975 in NSG	H1975 EGFR-mut LUAD CDX	10x scRNA (one pooled GEO sample: isotype / aPD-1 / aCCL20 / combo)	yes, 449 MB MTX; no cell metadata	1 GEO sample (4 conditions pooled)	anti-PD-1 +/- anti-CCL20	paper multiplex IF: M1/pDC/memory B / Treg spatial segregation; not CD8 nest vs TACSTD2/CLDN4	not reanalyzed here (no barcodes-to-condition map)	same	public scRNA exists; still not nest entry
E-MTAB-9891	PBMC + PC9	PC9 EGFR-mut LUAD CDX	3' UTR bulk RNA-seq	ArrayExpress/ENA ERP125694	not re-pulled	osimertinib then RIG-I agonist IVT4; not PD-1	no	not analyzed	not analyzed	wrong drug class for ICI nest question
Yu 2023 Cell Commun Signal	CD34 HuNCG + NCI-H226 LUSC	H226 CDX	10x scRNA ~38k cells, 4 arms	NO. "available upon request"	12 mice sequenced (3/arm)	pembrolizumab +/- Shenmai	IF used for validation, not a nest atlas	not public	not public	best CD34 HIS NSCLC scRNA on paper; not deposited
Meraz 2024 eLife 98258	fresh CB CD34 NSG	A549 KRAS/STK11 lung mets	NanoString PanCancer Immune 776 genes, n=12	source data in paper, no GEO	12 (4 arms x 3)	NPRL2 gene therapy +/- pembrolizumab	flow/IHC infiltration, not nest	TACSTD2/CLDN4 not expected on immune panel	CD8b reported up after NPRL2	no public matrix for TROP2/CLDN4 vs nest
SITC 2024 #807	CD34 NSG-SGM3, HLA-partial match	NCI-H358	bulk RNA + CellDive IF + flow	not deposited	not public	TROP2 ADC (hRS7-AZ'0132) +/- sabestomig (PD1-TIM3)	IF/IHC TME, not a public nest score vs TACSTD2/CLDN4	TROP2 is the drug target, not a public RNA correlate	CD8 up by flow in combo	closest TROP2+HIS NSCLC IO study; data closed
GSE217706 / GSE217722	CD34 MISTRG	no tumor	scRNA of lung ILC/NK or man/mac	yes	4 / 7	none	vascular vs tissue niche in normal lung, not tumor nest	N/A	N/A	HIS lung, not NSCLC IO
GSE199272 / GSE200561 / GSE200562	CD34 MISTRG6	no tumor (COVID)	sc/bulk lung	yes	small	infection, not ICI	no tumor nest	N/A	N/A	exclude
GSE296572	hHGF-NSG (human HGF knock-in), NOT HIS	H3122 ALK CDX	bulk tumor+stroma RNA	yes	22	alectinib, not ICI	no	N/A	N/A	"humanized" = cytokine, not immune system
GSE194166	paper mentions HIS xenografts; GEO is murine KP/KPL	syngeneic mouse	scRNA+TCR	yes, mouse	10	AXL + PD-1	no human nest	mouse	mouse CD8	do not use as HIS NSCLC
AACR 2024 #4186	CD34 NCG, 3 donors	orthotopic A549-luc	flow/PD, no GEO RNA found	no	n/a	paclitaxel +/- pembrolizumab	histology mentioned, not public nest RNA	no	no	abstract only
Meraz 2019 CIR	fresh CB CD34 NSG + lung CDX/PDX	A549 / PDX	flow/IHC, no GEO RNA found	no	n/a	pembro/nivo	infiltration not nest	no	no	model paper
Chiorazzi 2023 JITC autologous MISTRG6	autologous BM CD34 + PDX	5 NSCLC among mixed histologies	WES of melanoma example; no NSCLC RNA/scRNA deposit found	no NSCLC RNA	n/a	platform paper	no	no	no	not a usable NSCLC IO RNA set
GSE285888 and other patient PBMC scRNA	patient blood, not a mouse HIS model	patient NSCLC	PBMC scRNA	yes	33 pts	ICI biomarkers	no tumor, no nest	N/A	blood CD8	exclude (name collision with PBMC-humanized)
