gene	chrom	start
SAMD11	1	923923
NOC2L	1	944203
KLHL17	1	960584
PLEKHN1	1	966482
PERM1	1	975198
HES4	1	998962
ISG15	1	1001138
AGRN	1	1020120
RNF223	1	1070967
C1orf159	1	1081818
TTLL10	1	1173880
TNFRSF18	1	1203508
TNFRSF4	1	1211326
SDF4	1	1216931
B3GALT6	1	1232237
C1QTNF12	1	1242446
UBE2J2	1	1253909
SCNN1D	1	1280436
ACAP3	1	1292390
PUSL1	1	1308597
INTS11	1	1311585
CPTP	1	1324756
TAS1R3	1	1331280
DVL1	1	1335276
MXRA8	1	1352689
AURKAIP1	1	1373730
CCNL2	1	1385711
MRPL20	1	1401909
ANKRD65	1	1418420
VWA1	1	1434861
ATAD3C	1	1449689
ATAD3B	1	1471765
ATAD3A	1	1512162
TMEM240	1	1534778
SSU72	1	1541673
FNDC10	1	1598012
MIB2	1	1615454
MMP23B	1	1632163
CDK11B	1	1635225
SLC35E2B	1	1659529
CDK11A	1	1702379
NADK	1	1751232
GNB1	1	1785285
CALML6	1	1915108
TMEM52	1	1917590
CFAP74	1	1921951
GABRD	1	2019329
PRKCZ	1	2050411
FAAP20	1	2184461
SKI	1	2227388
MORN1	1	2321253
RER1	1	2391775
PEX10	1	2403964
PLCH2	1	2425980
PANK4	1	2508537
HES5	1	2528745
TNFRSF14	1	2555639
PRXL2B	1	2586491
MMEL1	1	2590639
TTC34	1	2636986
PRDM16	1	3069168
ARHGEF16	1	3454665
MEGF6	1	3487951
TPRG1L	1	3625015
WRAP73	1	3630767
TP73	1	3652516
SMIM1	1	3772749
LRRC47	1	3778559
CEP104	1	3812086
DFFB	1	3857267
C1orf174	1	3889125
AJAP1	1	4654609
NPHP4	1	5862811
KCNAB2	1	5990927
CHD5	1	6101787
RPL22	1	6185020
RNF207	1	6205475
ICMT	1	6221193
GPR153	1	6247353
ACOT7	1	6264269
HES2	1	6412418
ESPN	1	6424776
TNFRSF25	1	6460786
PLEKHG5	1	6467122
NOL9	1	6521347
ZBTB48	1	6579994
KLHL21	1	6590724
PHF13	1	6613731
THAP3	1	6624868
DNAJC11	1	6634168
CAMTA1	1	6785454
VAMP3	1	7771296
PER3	1	7784291
UTS2	1	7843083
TNFRSF9	1	7915871
PARK7	1	7954291
ERRFI1	1	8004404
SLC45A1	1	8318114
RERE	1	8352397
ENO1	1	8861000
SLC2A5	1	9035106
GPR157	1	9100305
H6PD	1	9234774
SPSB1	1	9292894
SLC25A33	1	9539465
TMEM201	1	9588911
PIK3CD	1	9629889
CLSTN1	1	9728926
CTNNBIP1	1	9848276
LZIC	1	9922113
NMNAT1	1	9943428
RBP7	1	9997206
UBE4B	1	10032832
KIF1B	1	10210570
PGD	1	10398592
CENPS	1	10430433
DFFA	1	10456522
PEX14	1	10472288
CASZ1	1	10636604
C1orf127	1	10946471
TARDBP	1	11012344
MASP2	1	11022009
SRM	1	11054584
EXOSC10	1	11066618
MTOR	1	11106535
UBIAD1	1	11273198
DISP3	1	11479155
FBXO2	1	11637018
FBXO44	1	11654375
MAD2L2	1	11658918
FBXO6	1	11664200
DRAXIN	1	11691710
AGTRAP	1	11736084
C1orf167	1	11761787
MTHFR	1	11785723
CLCN6	1	11806096
KIAA2013	1	11919591
PLOD1	1	11934205
MFN2	1	11980181
MIIP	1	12019466
TNFRSF8	1	12063303
TNFRSF1B	1	12166991
VPS13D	1	12230030
DHRS3	1	12567910
HNRNPCL1	1	12847377
HNRNPCL2	1	13115488
LRRC38	1	13474973
PDPN	1	13583465
PRDM2	1	13700188
KAZN	1	13892792
TMEM51	1	15152532
FHAD1	1	15236521
EFHD2	1	15409888
CTRC	1	15438442
CASP9	1	15490832
DNAJC16	1	15526813
AGMAT	1	15571699
DDI2	1	15617458
PLEKHM2	1	15684320
SLC25A34	1	15736258
FBLIM1	1	15756607
UQCRHL	1	15807169
SPEN	1	15836095
ZBTB17	1	15941869
CLCNKA	1	16018875
FAM131C	1	16057769
EPHA2	1	16124337
ARHGEF19	1	16197854
CPLANE2	1	16231692
FBXO42	1	16246840
SZRD1	1	16352575
NECAP2	1	16440721
NBPF1	1	16562319
CROCC	1	16740273
MFAP2	1	16974502
ATP13A2	1	16985958
SDHB	1	17018664
PADI2	1	17066761
PADI1	1	17205128
PADI4	1	17308195
PADI6	1	17372196
RCC2	1	17406760
ARHGEF10L	1	17539698
IGSF21	1	18107798
KLHDC7A	1	18480930
PAX7	1	18630846
ALDH4A1	1	18871430
IFFO2	1	18904280
UBR4	1	19074510
EMC1	1	19215660
MRTO4	1	19251805
AKR7L	1	19265982
AKR7A3	1	19282573
AKR7A2	1	19303965
CAPZB	1	19338775
NBL1	1	19596979
TMCO4	1	19682240
OTUD3	1	19882395
PLA2G5	1	20028179
PLA2G2D	1	20111939
PLA2G2C	1	20161253
UBXN10	1	20186096
VWA5B1	1	20290875
CAMK2N1	1	20482391
MUL1	1	20499448
CDA	1	20589086
PINK1	1	20633458
DDOST	1	20651767
KIF17	1	20664014
HP1BP3	1	20740266
EIF4G3	1	20806292
ECE1	1	21217247
NBPF3	1	21440128
ALPL	1	21509397
RAP1GAP	1	21596221
USP48	1	21678298
LDLRAD2	1	21812265
HSPG2	1	21822244
CDC42	1	22052627
WNT4	1	22117313
ZBTB40	1	22428838
C1QA	1	22635077
C1QC	1	22643014
C1QB	1	22652762
EPHB2	1	22710839
KDM1A	1	23019443
LUZP1	1	23084030
HNRNPR	1	23303771
ZNF436	1	23359448
TCEA3	1	23380909
ASAP3	1	23428563
E2F2	1	23506438
ID3	1	23557926
RPL11	1	23691742
ELOA	1	23743448
PITHD1	1	23778418
LYPLA2	1	23791145
GALE	1	23795599
HMGCL	1	23801885
FUCA1	1	23845077
CNR2	1	23870515
PNRC2	1	23956839
SRSF10	1	23964347
MYOM3	1	24056035
IFNLR1	1	24154168
GRHL3	1	24199558
STPG1	1	24356999
NIPAL3	1	24415802
RCAN3	1	24502351
NCMAP	1	24556087
SRRM1	1	24631716
CLIC4	1	24745382
RUNX3	1	24899511
SYF2	1	25222276
RSRP1	1	25242249
TMEM50A	1	25338317
MACO1	1	25430858
LDLRAP1	1	25543606
MAN1C1	1	25616791
SELENON	1	25800193
MTFR1L	1	25818640
AUNIP	1	25831913
PAQR7	1	25861484
STMN1	1	25884181
PAFAH2	1	25959767
SLC30A2	1	26037252
PDIK1L	1	26111165
FAM110D	1	26159079
ZNF593	1	26169908
CNKSR1	1	26177484
CEP85	1	26234200
SH3BGRL3	1	26280086
UBXN11	1	26281328
CD52	1	26317958
CRYBG2	1	26321698
ZNF683	1	26361634
DHDDS	1	26432282
HMGN2	1	26472440
RPS6KA1	1	26529761
ARID1A	1	26693236
PIGV	1	26787054
ZDHHC18	1	26826688
SFN	1	26863149
GPN2	1	26876132
GPATCH3	1	26890488
NUDC	1	26900238
KDF1	1	26949562
TRNP1	1	26993692
TENT5B	1	27005020
SLC9A1	1	27098809
WDTC1	1	27234632
TMEM222	1	27322145
SYTL1	1	27342020
MAP3K6	1	27355184
CD164L2	1	27379176
GPR3	1	27392622
WASF2	1	27404230
AHDC1	1	27534035
FGR	1	27612064
IFI6	1	27666064
FAM76A	1	27725961
STX12	1	27773219
PPP1R8	1	27830782
THEMIS2	1	27872543
RPA2	1	27891524
SMPDL3B	1	27935000
XKR8	1	27959588
EYA3	1	27970344
PTAFR	1	28147166
DNAJC8	1	28199456
ATP5IF1	1	28236109
SESN2	1	28259518
MED18	1	28329002
PHACTR4	1	28369582
RCC1	1	28505943
TRNAU1AP	1	28553085
TAF12	1	28587829
RAB42	1	28592200
GMEB1	1	28668778
YTHDF2	1	28736621
EPB41	1	28887091
TMEM200B	1	29119429
SRSF4	1	29147743
MECR	1	29192657
PTPRU	1	29236516
MATN1	1	30711277
LAPTM5	1	30732469
SDC3	1	30869466
PUM1	1	30931506
NKAIN1	1	31179745
SNRNP40	1	31259568
ZCCHC17	1	31296982
FABP3	1	31365253
SERINC2	1	31409565
TINAGL1	1	31576485
PEF1	1	31629866
COL16A1	1	31652263
ADGRB2	1	31727117
SPOCD1	1	31790422
PTP4A2	1	31906421
KHDRBS1	1	32013868
TMEM39B	1	32072031
KPNA6	1	32108056
TXLNA	1	32179675
CCDC28B	1	32200595
IQCC	1	32205671
TMEM234	1	32214472
EIF3I	1	32221077
FAM167B	1	32247222
LCK	1	32251244
HDAC1	1	32292083
MARCKSL1	1	32333839
TSSK3	1	32351521
FAM229A	1	32361270
BSDC1	1	32364633
ZBTB8B	1	32465072
ZBTB8A	1	32539427
ZBTB8OS	1	32600172
RBBP4	1	32651142
SYNC	1	32679906
KIAA1522	1	32741830
S100PBP	1	32816767
FNDC5	1	32862268
HPCA	1	32885994
TMEM54	1	32894594
RNF19B	1	32936445
AK2	1	33007986
AZIN2	1	33081104
TRIM62	1	33145399
ZNF362	1	33256492
PHC2	1	33323623
ZSCAN20	1	33472645
CSMD2	1	33513998
SMIM12	1	34712737
GJB3	1	34781214
DLGAP3	1	34865436
ZMYM6	1	34986165
ZMYM1	1	35032172
SFPQ	1	35176378
ZMYM4	1	35268709
KIAA0319L	1	35393883
NCDN	1	35557473
TFAP2E	1	35573314
PSMB2	1	35599541
C1orf216	1	35713877
CLSPN	1	35720218
AGO4	1	35808016
AGO1	1	35869808
AGO3	1	35930718
TEKT2	1	36084094
COL8A2	1	36095239
TRAPPC3	1	36136570
MAP7D1	1	36155579
THRAP3	1	36224432
SH3D21	1	36306368
EVA1B	1	36322030
STK40	1	36339624
LSM10	1	36391238
OSCP1	1	36415827
MRPS15	1	36455718
CSF3R	1	36466043
GRIK3	1	36795527
ZC3H12A	1	37474580
MEAF6	1	37489993
SNIP1	1	37534449
DNALI1	1	37556919
GNL2	1	37566816
C1orf109	1	37681570
CDCA8	1	37692481
EPHA10	1	37713880
MANEAL	1	37793847
YRDC	1	37802945
C1orf122	1	37806979
MTF1	1	37809574
INPP5B	1	37860697
SF3A3	1	37956975
FHL3	1	37996770
UTP11	1	38009258
POU3F1	1	38043829
RRAGC	1	38838198
