symbol	ensembl_gene_id
ABCA6	ENSG00000154262
ACTG2	ENSG00000163017
ADAM8	ENSG00000151651
ADAM12	ENSG00000148848
ADAMTS5	ENSG00000154736
ADCY7	ENSG00000121281
ADGRA2	ENSG00000020181
AIF1	ENSG00000204472
ALOX5AP	ENSG00000132965
EVI2B	ENSG00000185862
F13A1	ENSG00000124491
FAP	ENSG00000078098
FASLG	ENSG00000117560
FBLN2	ENSG00000163520
FCER1G	ENSG00000158869
FCGR2A	ENSG00000143226
FCGR2B	ENSG00000072694
FGL2	ENSG00000127951
FGR	ENSG00000000938
FLI1	ENSG00000151702
FMO1	ENSG00000010932
FOXF1	ENSG00000103241
FPR1	ENSG00000171051
FRZB	ENSG00000162998
FYB1	ENSG00000082074
GBP1	ENSG00000117228
GBP2	ENSG00000162645
GIMAP4	ENSG00000133574
GIMAP5	ENSG00000196329
GIMAP6	ENSG00000133561
GLRX	ENSG00000173221
GMFG	ENSG00000130755
GMIP	ENSG00000089639
GNLY	ENSG00000115523
GPR65	ENSG00000140030
GREM1	ENSG00000166923
GZMA	ENSG00000145649
GZMB	ENSG00000100453
GZMH	ENSG00000100450
GZMK	ENSG00000113088
HCK	ENSG00000101336
HCLS1	ENSG00000180353
HDC	ENSG00000140287
HEPH	ENSG00000089472
HGF	ENSG00000019991
HLA-A	ENSG00000206503
HLA-B	ENSG00000234745
HLA-C	ENSG00000204525
HLA-DMA	ENSG00000204257
HLA-DPA1	ENSG00000231389
HLA-DPB1	ENSG00000223865
HLA-DRA	ENSG00000204287
HLA-E	ENSG00000204592
HLA-F	ENSG00000204642
HLA-G	ENSG00000204632
IDO1	ENSG00000131203
IFI30	ENSG00000216490
IFNG	ENSG00000111537
IGF1	ENSG00000017427
IGSF6	ENSG00000140749
IKZF1	ENSG00000185811
IL1B	ENSG00000125538
IL2RB	ENSG00000100385
IL2RG	ENSG00000147168
IL4R	ENSG00000077238
IL7R	ENSG00000168685
IL10RA	ENSG00000110324
IL18R1	ENSG00000115604
IL18RAP	ENSG00000115607
IL32	ENSG00000008517
IRF8	ENSG00000140968
ISLR	ENSG00000129009
ITGA4	ENSG00000115232
ITGAL	ENSG00000005844
ITGAM	ENSG00000169896
ITGB2	ENSG00000160255
ITGBL1	ENSG00000198542
ITIH3	ENSG00000162267
ITIH5	ENSG00000123243
ITK	ENSG00000113263
ITM2A	ENSG00000078596
KCNJ8	ENSG00000121361
KDR	ENSG00000128052
KLRB1	ENSG00000111796
KLRK1	ENSG00000213809
KRT8	ENSG00000170421
KRT18	ENSG00000111057
KRT19	ENSG00000171345
LAIR1	ENSG00000167613
LAPTM5	ENSG00000162511
LCK	ENSG00000182866
LCP2	ENSG00000043462
LDB2	ENSG00000169744
LGALS9	ENSG00000168961
