layer,dataset,cohort,partner,role,primary,n,spearman_rho,spearman_p,spearman_q_bh_primary6,spearman_ci95_low,spearman_ci95_high,pearson_r,pearson_p,rounds_to_slide_0.69,abs_diff_vs_slide_0.69,n_equals_slide_118,slide_0.69_inside_ci95,note
protein,Gygi_CCLE_MS,lung_suffix,CLDN1,focal,True,70,0.11440818825999474,0.34564316133457335,0.34564316133457335,-0.11551855942598685,0.33398575094377975,0.09083313400297748,0.4545634650703755,False,0.5755918117400052,False,False,PRIMARY protein: CCLE name ends with _LUNG. Pairwise complete cases. No imputation.
protein,Gygi_CCLE_MS,lung_suffix,CLDN4,focal,True,45,0.6931488801054019,1.3117431950020398e-07,1.5740918340024475e-07,0.4833291593279783,0.8222327111970432,0.6871878120527255,1.8535570143264805e-07,True,0.00314888010540193,False,True,PRIMARY protein: CCLE name ends with _LUNG. Pairwise complete cases. No imputation.
protein,Gygi_CCLE_MS,lung_suffix,CLDN7,focal,True,65,0.7016608391608391,7.47564064337753e-11,1.1213460965066295e-10,0.5219235047106827,0.8252199946882589,0.6860684248778224,2.843330683305095e-10,False,0.011660839160839154,False,True,PRIMARY protein: CCLE name ends with _LUNG. Pairwise complete cases. No imputation.
protein,Gygi_CCLE_MS,lung_suffix,CLDN3,control,False,65,0.30288461538461536,0.014188373139805789,,,,0.36356014218528365,0.002912456290871137,False,0.3871153846153846,False,,Specificity controls on the same _LUNG columns. Not the slide pair.
protein,Gygi_CCLE_MS,lung_suffix,CLDN5,control,False,0,,,,,,,,False,,False,,Specificity controls on the same _LUNG columns. Not the slide pair. Not quantified in the Gygi CCLE MS matrix.
protein,Gygi_CCLE_MS,lung_suffix,CLDN18,control,False,17,0.3504901960784314,0.16781533363739962,,,,0.4227197505093281,0.0909357618882882,False,0.33950980392156854,False,,Specificity controls on the same _LUNG columns. Not the slide pair. Protein row is isoform A2 only (sp|P56856-2|CLD18_HUMAN).
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN1,histology,False,57,0.07868809955924294,0.5606853698182769,,,,0.04499690657183966,0.739616486048065,False,0.611311900440757,False,,CCLE _LUNG and DepMap 24Q4 OncotreePrimaryDisease == Non-Small Cell Lung Cancer.
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN4,histology,False,35,0.7266106442577032,7.730366817532931e-07,,,,0.7437063817000543,3.0686191982928465e-07,False,0.03661064425770322,False,,CCLE _LUNG and DepMap 24Q4 OncotreePrimaryDisease == Non-Small Cell Lung Cancer.
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN7,histology,False,54,0.7873070325900513,1.658293128671258e-12,,,,0.7376843476071164,1.977651382529508e-10,False,0.09730703259005136,False,,CCLE _LUNG and DepMap 24Q4 OncotreePrimaryDisease == Non-Small Cell Lung Cancer.
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN3,histology,False,52,0.3875181422351233,0.00453502121289546,,,,0.41441264178032144,0.0022555308185629136,False,0.3024818577648766,False,,CCLE _LUNG and DepMap 24Q4 OncotreePrimaryDisease == Non-Small Cell Lung Cancer.
