arm	cohort	material	endpoint	statistic	n	call	source_pr	note
Tacstd2_KL_gt_KP	GSE137244	bulk cell-line RNA-seq; log2(FPKM+1)	Tacstd2 mean(KL)-mean(KP)	delta=+3.238; handoff rounding +3.24; exact MW p=0.00794; complete separation	5 vs 5 libraries	LOCKED reference	#606 #685 #743	Not single-cell. p is the 5-vs-5 floor (2/252). Libraries: KL155, KL47, KLC, KLD, KLE vs B6AL10-1..5.
Tacstd2_KL_gt_KP	GSE164758	primary tumor bulk	Tacstd2 KL-KP	delta=+0.858; MW p=8.227e-05	9 vs 8	separates	#743	In vivo corroboration of the locked cell-line direction.
Tacstd2_KL_gt_KP	GSE6135	mouse array, all histologies	Tacstd2 KL-KP	delta=+1.795; MW p=0.002525	7 vs 5	separates	#743	
Tacstd2_KL_gt_KP	GSE6135	adenocarcinoma only	Tacstd2 KL-KP	delta=+0.989; MW p=0.01587	4 vs 5	sensitivity, separates	#743	
Tacstd2_KL_gt_KP	GSE137396	in vivo nodule	Tacstd2 KL-KP	delta=+1.144; MW p=0.09524	5 vs 5	same sign, ns	#743	Do not drop from the table.
Tacstd2_KL_gt_KP	GSE244452	syngeneic bulk tumor	Tacstd2 KL-KP	delta=+7.228; MW p=0.1	3 vs 3	n=3 floor	#743	
Tacstd2_KL_gt_KP	GSE274352	cultured cells, empty vector	Tacstd2 KL-KP	delta=-1.543; MW p=0.1	3 vs 3	n=3 floor, opposite	#743	
Tacstd2_KL_gt_KP	GSE274351	LCM early adenoma	Tacstd2 KL-KP	delta=-0.860; MW p=0.5476	5 vs 5	opposite	#743	
immune_neg	CosMx He2022 NSCLC	spatial, figshare 25976224	CD8+NK neighbor ratio, section-median TACSTD2 split	0.455 at 10 µm; 0.670 at 20 µm; 8/8 sections and 5/5 patients; sign P=0.03125	8 sections; 5 patients	YES short-range	#739 citing #726	50 µm ratio 0.854 (7/8); 100 µm 0.947 (4/8). Not the CLDN4 50/100 µm ratios.
immune_neg	CosMx He2022	same	immune-neighbor fraction	0.519 at 10 µm; 0.643 at 20 µm; 8/8 and 5/5; sign P=0.03125	same	YES	#739 citing #726	CD8-only count ratios 0.502 / 0.726 at 10 / 20 µm, also 8/8 and 5/5.
immune_neg	concordant-4	scRNA malignant % detected	TACSTD2 %pos vs T/NK	DL rho=-0.112; 95% CI -0.388 to +0.183; p=0.460; I2=15%	N=65; k=4	NULL	#739 citing #718 #638	Do not substitute another gene's rho.
immune_neg	TCGA LUAD+LUSC	bulk RNA, ABSOLUTE	TACSTD2 vs CD8A partial	pooled rho=-0.191; p=1.31e-9; LUAD -0.104 (p=0.020); LUSC -0.244 (p=4.3e-8)	995; LUAD 502; LUSC 493	YES	#739 citing #107	LUSC stronger (Fisher p=0.023). Not ICI.
immune_neg	TCGA LUAD+LUSC	same	TACSTD2 vs ESTIMATE ImmuneScore partial	pooled rho=-0.107; p=7.4e-4; LUAD +0.072 (p=0.109); LUSC -0.131 (p=0.003)	995	PARTIAL LUSC-only	#739 citing #107	
immune_neg	TCGA 8 cohorts	GDC STAR log2 TPM+1	TACSTD2 vs CD8 after KRT8/18/19	pooled rho=-0.069; 95% CI -0.135 to -0.002; p=0.043; I2=76%; 6/8 negative	see note	WEAK	#739 citing #593	LUAD 516; LUSC 501; BRCA 1095; CESC 304; KIRC 533; STAD 412; BLCA 406; PAAD 178. CESC +0.118; PAAD +0.029 after keratin.
immune_neg	OncoSG LUAD	cBioPortal luad_oncosg_2020 z-score	TACSTD2 vs CD8A after PURITY	partial rho=-0.309; 95% CI -0.440 to -0.165; p=4.69e-5	169	YES	#739 citing #139	Portal lists 181; public matrix has 169 columns.
immune_neg	OncoSG LUAD	same	immune / IMSIG T / IMSIG NK after PURITY	-0.318 (p=2.7e-5) / -0.404 / -0.421	169	YES	#739 citing #139	
immune_neg	CPTAC LUAD protein	TMT freeze v1.2, treatment-naive	TROP2 protein vs xCell CD8	rho=-0.289; n=110; p=0.0022; WES partial -0.261 (n=108, p=0.0067). Immune rho=-0.309; WES partial -0.272	110	YES LUAD protein	#739 citing #99	RNA TACSTD2 vs xCell is null on this freeze.
