n_cldn4_quantified	n_cldn4_missing	median_quantified	median_missing	rank_biserial	p	tested	note	cohort	analysis	family	partner	species	q_bh
24	32	27.996425629999997	28.060484885	-0.10416666666666663	0.5131196325942219	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUAD	detection_contrast	DNA-PK	PRKDC	human	0.7696794488913328
24	32	26.982166290000002	27.109580039999997	-0.125	0.431609120559196	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUAD	detection_contrast	DNA-PK	XRCC5	human	0.7696794488913328
24	32	27.842122080000003	27.81888294	-0.01822916666666663	0.9142985164814511	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUAD	detection_contrast	DNA-PK	XRCC6	human	0.9323243733483333
24	26	20.123556135	20.665482525	-0.3012820512820513	0.06942875220293034	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUAD	detection_contrast	STING	STING1	human	0.3124293849131865
24	27	18.400626185	18.62804604	-0.015432098765432056	0.9323243733483333	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUAD	detection_contrast	STING	CGAS	human	0.9323243733483333
24	32	21.515990255	21.440004350000002	0.04947916666666674	0.7593776799601862	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUAD	detection_contrast	STING	TBK1	human	0.9323243733483333
18	28	18.77266598	18.902927400000003	-0.11904761904761907	0.5067095272387443	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUAD	detection_contrast	STING	IRF3	human	0.7696794488913328
24	32	24.617733	24.252991675	0.125	0.431609120559196	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUAD	detection_contrast	extended	IFI16	human	0.7696794488913328
24	32	26.086112025	25.6848545075	0.3671875	0.020007353010137834	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUAD	detection_contrast	extended	STAT1	human	0.1800661770912405
23	38	28.24875641	28.02145195	0.17162471395881007	0.2675802372582623	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUSC	detection_contrast	DNA-PK	PRKDC	human	0.4309872628735231
23	38	27.14891815	27.03597641	0.17391304347826098	0.2612109949581367	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUSC	detection_contrast	DNA-PK	XRCC5	human	0.4309872628735231
23	38	27.96878624	27.88481045	0.16475972540045758	0.2873248419156821	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUSC	detection_contrast	DNA-PK	XRCC6	human	0.4309872628735231
23	29	18.43670654	19.23401833	-0.3193403298350824	0.05082311574314275	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUSC	detection_contrast	STING	STING1	human	0.22870402084414237
23	28	17.86079788	18.292013165	-0.18322981366459623	0.2681239302164332	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUSC	detection_contrast	STING	CGAS	human	0.4309872628735231
23	38	21.56196785	21.508497235	0.0022883295194509046	0.9940632997638427	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUSC	detection_contrast	STING	TBK1	human	0.9940632997638427
17	30	18.80336571	18.698128699999998	0.15294117647058814	0.39398971920826587	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUSC	detection_contrast	STING	IRF3	human	0.5065582104106275
23	38	24.72123718	25.19572449	-0.41418764302059496	0.00722993565559164	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUSC	detection_contrast	extended	IFI16	human	0.06506942090032476
23	38	25.40919876	25.605626105	-0.11212814645308922	0.47045431866237397	True	Mann-Whitney; Glass rank-biserial > 0 means higher protein when CLDN4 was quantified. NA is not imputed.	LUSC	detection_contrast	extended	STAT1	human	0.5292611084951707
