cohort	patient_id	split	interaction_name	ligand	receptor	prob_high	prob_low	delta	detected	detected_high	detected_low	n_mal_high	n_mal_low	n_tnk	n_mal
GSE123902	LX255B	median	CCL5_CCR1	CCL5	CCR1	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	CCL5_CCR5	CCL5	CCR5	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	CXCL9_CXCR3	CXCL9	CXCR3	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	CXCL10_CXCR3	CXCL10	CXCR3	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	LGALS9_CD45	LGALS9	PTPRC	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	LGALS9_HAVCR2	LGALS9	HAVCR2	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	LGALS9_CD44	LGALS9	CD44	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	CDH1_KLRG1	CDH1	KLRG1	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	HLA-A_CD8A	HLA-A	CD8A	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	HLA-B_CD8A	HLA-B	CD8A	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	HLA-C_CD8A	HLA-C	CD8A	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	median	NECTIN2_TIGIT	NECTIN2	TIGIT	0.0	0.0	0.0	False	False	False	80	148	1583	228
GSE123902	LX255B	tertile	CCL5_CCR1	CCL5	CCR1	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	CCL5_CCR5	CCL5	CCR5	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	CXCL9_CXCR3	CXCL9	CXCR3	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	CXCL10_CXCR3	CXCL10	CXCR3	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	LGALS9_CD45	LGALS9	PTPRC	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	LGALS9_HAVCR2	LGALS9	HAVCR2	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	LGALS9_CD44	LGALS9	CD44	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	CDH1_KLRG1	CDH1	KLRG1	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	HLA-A_CD8A	HLA-A	CD8A	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	HLA-B_CD8A	HLA-B	CD8A	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	HLA-C_CD8A	HLA-C	CD8A	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	tertile	NECTIN2_TIGIT	NECTIN2	TIGIT	0.0	0.0	0.0	False	False	False	76	148	1583	228
GSE123902	LX255B	q4q1	CCL5_CCR1	CCL5	CCR1	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	CCL5_CCR5	CCL5	CCR5	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	CXCL9_CXCR3	CXCL9	CXCR3	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	CXCL10_CXCR3	CXCL10	CXCR3	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	LGALS9_CD45	LGALS9	PTPRC	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	LGALS9_HAVCR2	LGALS9	HAVCR2	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	LGALS9_CD44	LGALS9	CD44	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	CDH1_KLRG1	CDH1	KLRG1	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	HLA-A_CD8A	HLA-A	CD8A	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	HLA-B_CD8A	HLA-B	CD8A	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	HLA-C_CD8A	HLA-C	CD8A	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX255B	q4q1	NECTIN2_TIGIT	NECTIN2	TIGIT	0.0	0.0	0.0	False	False	False	57	148	1583	228
GSE123902	LX653	median	CCL5_CCR1	CCL5	CCR1	0.0	0.0	0.0	False	False	False	72	73	49	145
GSE123902	LX653	median	CCL5_CCR5	CCL5	CCR5	0.0	0.0	0.0	False	False	False	72	73	49	145
GSE123902	LX653	median	CXCL9_CXCR3	CXCL9	CXCR3	0.0	0.0	0.0	False	False	False	72	73	49	145
GSE123902	LX653	median	CXCL10_CXCR3	CXCL10	CXCR3	0.0	0.0	0.0	False	False	False	72	73	49	145
GSE123902	LX653	median	LGALS9_CD45	LGALS9	PTPRC	0.033317383895694865	0.012381688347134993	0.020935695548559872	True	True	True	72	73	49	145
GSE123902	LX653	median	LGALS9_HAVCR2	LGALS9	HAVCR2	0.0017377221184318844	0.0006327971460855886	0.001104924972346296	True	True	True	72	73	49	145
GSE123902	LX653	median	LGALS9_CD44	LGALS9	CD44	0.026524831769744177	0.009814050094588684	0.016710781675155495	True	True	True	72	73	49	145
GSE123902	LX653	median	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	0.0	0.0	0.0	False	False	False	72	73	49	145
GSE123902	LX653	median	CDH1_KLRG1	CDH1	KLRG1	0.0	0.0	0.0	False	False	False	72	73	49	145
GSE123902	LX653	median	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	0.0	0.0	0.0	False	False	False	72	73	49	145
GSE123902	LX653	median	HLA-A_CD8A	HLA-A	CD8A	0.5141135140078238	0.5013506100708749	0.0127629039369489	True	True	True	72	73	49	145
GSE123902	LX653	median	HLA-B_CD8A	HLA-B	CD8A	0.5587087834328509	0.5433970445712895	0.015311738861561452	True	True	True	72	73	49	145
GSE123902	LX653	median	HLA-C_CD8A	HLA-C	CD8A	0.4378718252006062	0.3950679544554491	0.04280387074515707	True	True	True	72	73	49	145
